TRACT,POP100,AREALAND
150100,9519,13308545
10702,9079,60641348
2001,8553,6976236
20704,8337,19268869
12800,8313,47735971
21400,8174,149014192
13202,8000,63202651
121000,7933,177721758
10700,7892,90521846
11404,7833,16689231
20702,7600,118250524
20703,7598,17842896
160202,7596,11476536
1606,7514,421670
10800,7428,334898525
11600,7398,23314180
200400,7375,19226300
11301,7366,20703904
10200,7331,34919734
10300,7289,19256090
940005,7279,36598058
120905,7179,10033391
11900,7172,185987529
120401,7148,121889726
504,7139,4968961
13700,7107,19123065
20306,7047,74644677
20203,7028,50269991
12502,6958,29406508
41300,6919,17524826
203406,6885,49681361
101600,6844,157333819
11200,6824,293332791
11506,6815,6255277
120400,6760,4794658
12202,6751,5247047
1603,6733,175758
204301,6697,12121375
1600,6696,3538241
12000,6669,8121287
660202,6658,38340579
12501,6657,26024981
10801,6654,6678345
160203,6654,9056598
1604,6598,274805
12003,6548,10790394
187300,6533,7800888
1802,6515,20140123
440104,6507,20641977
10100,6506,4789500
11202,6464,61504102
21600,6441,88880948
201900,6402,38230689
42002,6397,82083147
3703,6371,22408176
1106,6358,59221677
640202,6357,27512998
10701,6351,10218124
2000,6332,2607927
460101,6320,62045387
650300,6305,60205748
2702,6305,55423528
20504,6270,17566625
803,6265,6500972
21700,6241,12788916
3100,6228,10198820
21302,6209,7250344
1601,6193,79134726
450106,6144,40303562
203802,6125,62025287
470202,6124,5120620
1104,6112,10963129
940008,6105,25827564
201504,6084,6550035
1803,6075,10922197
200500,6069,7633215
50101,6061,4896027
630202,6055,13088348
150301,6039,15950122
1401,6037,4123936
2602,6036,6018955
101300,6017,17663409
42200,5989,185696250
60200,5989,7630853
11500,5975,33527894
140202,5963,4107316
40300,5954,3892746
400104,5949,84452536
203602,5940,7737389
970200,5921,187499163
2605,5916,40393995
10500,5854,19284576
41400,5848,311213339
1801,5835,11713129
41600,5831,39380425
11800,5828,183471695
1705,5828,7133425
20100,5817,165104649
620100,5796,92571154
20204,5792,43845708
470100,5790,69334048
660301,5787,15601674
971200,5777,41767581
950900,5776,389691977
203403,5770,14555760
10101,5766,342112364
12300,5765,22170237
420300,5765,4802790
10403,5757,3320286
3400,5745,2041542
187200,5724,38888088
407,5712,2750038
10401,5712,56535779
2300,5706,4573224
17000,5697,705659
902,5695,1358112
140201,5694,4656854
400,5669,216729567
201703,5666,6785217
430100,5646,185941559
19700,5644,1882750
20600,5632,156007429
1202,5622,100192641
1502,5614,9577557
10907,5614,48365259
203304,5588,17529303
201506,5564,12516802
100800,5554,46526588
961900,5548,9322905
420200,5545,5300261
204002,5545,92128191
120602,5533,235336529
800,5527,272422004
160301,5523,17603791
40700,5522,47377251
101702,5519,99373011
1101,5511,668728
12505,5511,25407322
10400,5490,275144137
12603,5489,21701760
450103,5477,55363958
13302,5472,8077793
201600,5466,33755786
10202,5453,6542444
200102,5440,3933673
204,5436,2637213
1402,5429,8161946
410100,5427,63053846
20502,5425,21327415
460102,5419,30804419
10802,5415,10289487
2603,5409,6343924
20505,5400,5909027
11507,5397,5678230
70200,5389,2581764
10205,5387,166852814
11103,5382,11163111
961300,5373,15411837
91200,5371,2366760
204100,5365,59017090
120502,5350,4060848
101301,5329,72627900
1103,5313,10096714
1404,5312,3024225
12602,5308,121256354
200801,5308,13728046
201704,5307,22679449
2904,5300,34766052
202001,5291,53382124
10905,5288,9519739
200300,5288,34758349
904,5283,5783192
205,5271,4085539
961500,5261,186119551
1700,5254,2515899
30200,5247,518557635
2906,5247,20850690
1203,5244,9996418
10204,5235,5426070
201101,5233,9920058
10908,5221,66524838
440103,5181,29104929
420104,5177,53468451
41102,5171,7595323
2002,5166,3632749
19800,5158,2062296
20500,5155,96808203
120802,5150,271411559
1306,5142,3543700
2201,5134,59810677
660303,5133,12986551
10900,5131,514490793
650200,5128,5509048
3300,5117,1471143
10102,5112,9476598
10600,5111,69340438
11101,5107,3078151
13301,5104,16336197
21200,5102,4061229
10503,5090,15235690
470203,5028,8957865
202400,5018,3307579
150303,5010,6650914
41101,4999,14897826
203805,4996,24662461
11405,4990,25597418
1303,4990,45098663
11504,4989,5125535
12400,4980,146528545
2902,4972,84517879
900,4961,563127170
3102,4953,50377253
20308,4943,13279301
502,4939,8529022
4300,4931,1987853
41800,4922,93360239
70300,4899,1280685
700,4896,2774662
100700,4894,18334894
501,4893,3351186
203901,4884,13331025
401,4880,2431787
11406,4865,3250502
130100,4865,5495500
12002,4864,151878710
10906,4849,7095163
13100,4845,126369520
971500,4840,17509703
201300,4821,20010283
200803,4806,9059307
202102,4799,18844698
203702,4796,38404934
16300,4779,563205
3001,4775,3770683
120700,4766,372975537
203704,4766,17454255
2100,4761,3123882
201402,4760,5274340
12604,4759,28193541
19000,4758,2467513
185200,4723,3012205
302,4722,2800416
13000,4708,36006487
940002,4698,11531935
960700,4698,6359319
203305,4685,11579832
500,4677,20600571
70100,4666,1616167
950200,4657,313350203
702,4652,7897232
185300,4649,7304498
90600,4647,3069808
2400,4644,3895062
35200,4628,3864669
2606,4624,14525534
11902,4614,5085622
10201,4601,3937380
201701,4597,4834853
5000,4591,1140724
961000,4590,2934705
120901,4582,33393956
1703,4578,43344381
202301,4576,7242630
11000,4566,2736912
