TRACT,POP100,AREALAND
204,13220,26509249
11801,9640,180018655
50612,9560,17148716
61044,9294,36343432
422647,9208,10249026
50621,8644,261000659
613,8626,10445107
4062,8543,40682714
206,8458,23401349
4335,8429,3818928
61054,8264,9338135
422623,8259,5097447
107201,8139,1298213
116620,8015,5690288
61045,7940,40852057
224,7934,3796850
212,7918,11228701
812400,7909,16499212
116712,7907,3802548
611500,7896,5574554
1705,7885,4007489
50620,7835,400020451
817200,7797,26746948
106900,7793,2604856
816800,7767,6445709
50701,7711,7333379
610700,7705,106337581
82211,7701,4149443
812200,7700,5268215
109900,7653,2604898
1709,7624,5210768
61011,7598,16248783
617400,7573,6866364
810700,7543,2512819
50619,7507,23002137
4063,7483,18994879
318800,7468,2602290
61034,7464,2592287
1704,7461,4357141
816100,7437,2857354
104000,7434,2563939
40516,7427,378606658
316,7422,31885033
422209,7386,2613031
112602,7359,1880501
611300,7346,56240857
82204,7339,9542949
4126,7335,15171030
610500,7316,32220224
61053,7287,5980181
320001,7287,3040880
105800,7245,2604619
319104,7240,1287858
83000,7216,12247440
116605,7187,2581154
104100,7141,2564331
71910,7132,2594386
116612,7130,7776828
1900,7114,18713532
50611,7114,59042218
92308,7108,2554775
812100,7106,4370379
4636,7100,7613786
61035,7099,2545257
82012,7092,2918635
112302,7063,1285101
61052,7060,5056995
319201,7038,1324915
3702,6997,2886415
422615,6986,5141346
61062,6953,3453896
112700,6933,2632211
4640,6933,22212691
116610,6912,5052608
218200,6897,2524584
613300,6892,37833439
817600,6885,44863430
2505,6876,2495605
11407,6872,10039576
216816,6861,16094552
618900,6858,2571785
226,6855,9936004
610800,6842,52226817
816004,6839,4004530
105602,6810,1290278
810600,6794,3561799
422503,6792,2569002
523104,6782,2612164
115700,6779,2588062
4131,6779,25726805
420107,6775,8201200
812700,6773,2858186
107300,6769,2575241
116000,6765,2480173
611800,6761,2577142
61200,6746,4385819
110100,6730,2573751
813300,6713,5123317
614100,6700,3292878
10911,6700,16657088
4648,6691,121086462
116719,6689,3376895
116606,6682,2577692
611400,6675,5393717
953604,6675,22533193
610002,6672,223767905
4115,6672,3179813
953800,6659,7086700
4610,6655,4204755
217,6653,275257513
320007,6643,2061508
82213,6642,2574445
40532,6632,23495525
