TRACT,POP100,AREALAND
1404,8681,56183594
502,8247,105066993
1403,7509,371096977
206,6924,52407619
205,6806,16914189
505,6750,7500452
506,6713,5166219
1900,6669,9098018
1302,6593,55328007
1300,6482,4404443
802,6195,58392967
707,5917,6065668
2100,5866,43656272
601,5482,106423636
2301,5262,10662313
201,5127,173717911
1002,5113,9749861
30100,5080,11215856971
706,5073,3981617
702,5043,6809300
1200,4972,629546429
105,4925,3203026
1901,4920,7659287
10700,4836,1042523007
1502,4791,245576929
503,4784,10387346
203,4762,11913033
1601,4754,190025379
1704,4719,10046317
1701,4622,384187964
507,4551,11663697
940001,4517,1459158091
40400,4461,35985360
501,4415,20715258
1902,4385,12034305
940002,4339,3062580648
704,4338,1972409
962202,4315,2323054999
962201,4307,150365936
1100,4297,4220530
1600,4268,5127031
60200,4217,13313630162
602,4198,148223801
300,4192,24966851
1306,4057,171904011
104,4057,3401486
204,3970,6464373
966400,3957,797897594
200,3940,3493655553
10100,3937,764050902
10600,3932,2952734611
705,3860,1868826
401,3842,2140693382
10300,3785,7486194474
976000,3782,665306556
940305,3730,108709973
40300,3692,30818910
967000,3678,4805816391
1800,3642,6711605
1001,3608,4767548
903,3588,3846857
1805,3534,2417088
404,3483,26294834
962300,3463,1818182090
2202,3459,3587147
940307,3449,275195876
977000,3434,1911907726
70301,3427,162615089
701,3399,2590012
900,3383,1591813
1000,3371,2083332
1102,3337,2378323
1602,3336,670139282
30201,3300,8739056
402,3226,55966521
2201,3207,14627865
1804,3159,2413136
801,3155,9740633
1402,3134,138883569
1802,3119,1236734988
301,3096,57697064
966600,3081,2316784630
940600,3078,1509177883
30202,3066,14215008
1401,3051,106738514
940306,3010,531457305
202,3007,63713448
70400,2915,110952174
600,2860,6060328
100500,2790,17410236
10800,2779,1628103
504,2690,53110220
1101,2677,1832500
1806,2654,1335831
403,2564,22508937
102,2519,4469170054
708,2487,4692025
40500,2485,3012712
940300,2471,358164638
977200,2464,2295700649
2302,2420,54624914
90200,2407,2075686062
1202,2364,16699115
961600,2344,7826028
964500,2306,1518323356
1501,2249,6196699
964600,2229,1640476456
1703,2212,1813479759
400,2209,1985909628
1702,2180,269600681
962000,2172,2085789
940700,2171,2938313090
901,2167,1729954
902,2148,2134777
703,2126,1373214
10200,2110,2802584147
1803,2067,2729217
700,2064,1691869
961300,2059,9775611587
1700,2051,8718883
1303,2044,33083798
961900,2029,7494480
50100,1959,3703651373
1500,1956,1284126995
961702,1955,2511545338
80100,1938,1576652941
940304,1932,145308985
966500,1925,1538868769
1304,1880,22772324
40200,1858,3148129227
302,1829,165175384
70200,1820,2993399218
10400,1801,2028122196
1201,1794,1260955
940400,1780,2397066965
70100,1772,2112642044
1801,1749,1786648056
800,1735,799222
954000,1729,6843332035
961500,1727,4842670
20300,1661,3694021963
940100,1656,879438186
100100,1599,8457124496
940200,1589,1420771910
70302,1557,19365990
961800,1536,863180
1305,1533,106431973
940500,1431,3864128174
961701,1354,1961783634
40100,1342,3933304183
500,1308,2401123957
100,1239,10836869716
90400,1132,2267570681
101,954,4688696772
963500,762,2532492072
980000,56,1470119684
980600,13,376074870
