TRACT,POP100,AREALAND
10503,22780,24720266
16802,18656,86707868
13916,18273,15136312
17111,18071,102925704
20605,17666,58369697
30205,16990,28590853
17112,16383,12115734
14423,15930,115492159
42800,15058,25869930
911402,14773,21345222
13913,14160,35645988
17113,14094,35144685
31309,13632,20341935
16736,13392,25452738
16735,12745,9522618
382126,12651,73338535
20808,12417,14929520
16750,12194,10228484
13702,12191,8972724
43700,12096,73790425
2204,12048,32306361
17506,12043,22489360
43208,11791,10468022
13915,11725,7683896
911204,11654,18040860
17114,11635,8004872
20606,11501,41074283
64128,11426,13432742
20906,11348,40568844
20904,11292,147424829
13923,11022,14943801
14007,11002,18873401
13807,10982,9541276
13804,10972,12889174
31316,10932,9965154
13323,10885,4026209
3603,10870,94231899
43600,10813,11890031
13723,10795,24776310
32107,10670,27761796
12506,10576,15084321
1605,10468,7943047
31603,10457,10290839
20908,10434,70661042
17108,10418,18596515
31306,10384,17769654
17022,10303,7189311
41101,10277,19221669
31314,10252,34768469
43207,10201,6033745
11015,10065,3946902
20318,10023,5117459
110337,9975,2238291
31902,9909,52422693
14501,9870,55894789
110361,9775,23256927
15926,9719,7782961
16737,9685,355180766
14119,9651,17918674
12413,9648,88080635
11616,9609,6391601
10702,9572,3328722
11506,9515,12090671
16503,9397,5356297
382112,9392,8468144
41102,9367,34178051
20905,9361,27259701
11019,9337,10600493
83207,9319,174912709
31602,9280,14845071
20907,9269,30118750
17116,9265,11811096
13926,9252,103807086
31701,9232,131379820
1522,9216,4466864
10405,9212,5949443
10827,9096,15153314
30917,9054,42680559
13507,9054,11168035
63102,9022,12555870
2209,9006,123592711
63105,9005,5981358
380700,8960,13942827
30204,8910,58427414
40904,8909,13431427
43304,8872,16515990
21306,8821,8233037
16813,8801,12844738
7774,8783,38940847
90204,8759,104548330
20302,8699,2561348
12514,8698,13766117
71348,8691,40666087
20809,8665,8861513
16713,8645,5685275
90306,8629,22932973
10601,8625,8445718
21318,8620,10520559
20101,8618,2689463
10436,8596,4838619
13703,8571,4678242
382129,8565,5988921
13205,8547,5447558
32105,8538,35265895
17504,8525,12177761
14122,8512,10030617
21102,8510,6713553
32106,8506,10192834
31202,8505,44061445
21401,8500,7643832
11414,8491,4977459
61201,8439,13656072
50301,8437,2693464
9010,8427,20215486
20805,8427,10504855
16510,8424,2066779
21317,8418,10936384
83209,8412,599985756
14335,8391,5711660
32009,8379,11166844
23100,8354,6557735
16911,8349,1476445
17015,8347,8910765
71201,8339,32681281
12127,8317,8310005
14109,8312,11421890
110500,8302,27330609
60120,8296,12814719
14606,8295,4166408
2023,8281,14406486
14401,8258,24477322
30915,8252,7623730
382008,8250,6401989
16515,8246,5587825
2716,8236,24321169
42701,8224,3477361
90700,8217,2871400
1013,8201,20241477
382117,8201,5158895
60303,8194,1091219
83203,8182,59694959
16804,8167,12577139
7763,8167,5190452
60116,8148,2438987
14902,8148,3459630
17812,8137,5720347
40908,8133,8306860
42603,8132,3328122
32103,8130,39297203
20406,8122,2826619
382119,8112,5188608
32901,8109,15950232
14705,8097,1752581
40906,8090,11006388
32108,8090,22701605
5946,8087,4355244
10206,8084,10444857
70306,8037,16759407
11901,8030,24232382
7838,8029,5079639
7775,8022,6203252
4815,8011,3403634
13919,8010,9266335
27404,8010,6452122
2019,7975,10624276
30701,7965,12013900
31903,7953,18083850
90602,7951,2992744
21313,7948,26359449
22106,7943,4415234
41301,7936,5626759
20502,7933,4485004
71339,7932,10975191
14127,7932,12483447
5916,7928,3155445
20708,7923,49612394
42300,7922,8582315
31320,7919,6177700
43303,7918,13237560
21301,7918,15624723
64127,7916,11466448
80403,7895,3581880
70503,7891,3259799
10423,7885,27492138
21315,7870,5088533
17117,7861,7128234
20404,7846,2226042
17300,7844,282348853
70602,7831,7823897
70208,7830,7886136
31601,7827,10731078
20205,7808,2568849
1009,7799,15909910
3608,7770,20652513
30302,7769,2923657
31315,7762,9183257
71345,7744,8304580
32006,7730,28212233
950502,7724,51828963
30207,7710,5832729
71337,7703,7619270
382115,7699,6724465
70304,7685,4667505
14424,7674,21305645
16753,7673,34356766
91018,7654,9086497
40102,7630,258602285
7710,7626,9269491
10800,7624,3511980
11108,7622,45129973
70331,7617,25167878
20407,7615,2126759
1000,7614,5635554
12515,7611,5867117
1005,7609,56801181
5000,7602,1829393
40101,7579,75834329
5921,7576,5427472
40811,7565,20456062
9803,7564,2639653
382110,7557,6650234
12800,7554,4994070
2014,7541,25253096
21902,7540,4827829
7847,7540,79725579
21307,7536,9812059
20313,7530,2573823
17013,7512,3517413
20810,7509,26159904
110312,7508,2936814
64601,7504,11023451
7752,7504,8272728
90307,7499,9532724
40201,7491,1053259063
71346,7486,12562245
110323,7478,3474312
16512,7464,2247955
12412,7457,73914142
30707,7454,13426537
1202,7443,5862250
2604,7441,5608715
90804,7435,12856773
1515,7427,1550523
15106,7425,4772756
80500,7415,4054707
1004,7409,2503109
382014,7408,6003706
13526,7392,4009235
92500,7388,16513567
14328,7376,12726737
11502,7371,17567280
21507,7369,7986537
70312,7363,5436487
14417,7362,10077924
17302,7356,4543183
13917,7344,4233935
1904,7339,14602326
14414,7334,7054798
10811,7331,2595200
60115,7329,1980120
42500,7320,4732670
12305,7319,2950609
4702,7317,2641691
16803,7299,9407474
91020,7297,11373755
16907,7296,1702367
20324,7291,1389173
41300,7280,3313016
40808,7279,13379532
11209,7278,14554984
12103,7276,9383849
42900,7272,2498740
11614,7266,2497032
31308,7264,36303293
110301,7258,9293685
60119,7255,1952365
381505,7237,5301835
13922,7225,5390532
110604,7224,50431742
21617,7224,6849417
13705,7217,5740985
50903,7209,37457456
64901,7204,5288372
21606,7198,4983131
10106,7193,11105200
13322,7190,3398740
12207,7173,6065940
17110,7170,22563137
1404,7131,8383040
14807,7128,4853204
5702,7121,2288212
110365,7115,3480432
9040,7103,11323582
50207,7098,3840098
10411,7098,3818586
11416,7089,3396321
2203,7089,10762082
2503,7089,24443330
3101,7089,3335006
31604,7086,12904433
60213,7063,14258934
14607,7057,2649880
90502,7056,3383011
7837,7054,14183800
11008,7052,21518157
12411,7046,55940477
13407,7040,7477603
14123,7038,16667262
90905,7034,9387323
66301,7032,4558720
971900,7028,2657825
110300,7026,1016738375
26300,7025,4035841
19902,7024,1423399
381402,7023,26782283
91100,7021,2132106
90600,7015,5301278
18003,7014,6669570
21408,7012,19205102
13912,7011,24865166
14336,7009,4455538
60113,7008,4509767
41004,7007,4683049
17020,7005,2876136
381603,6991,20040450
21320,6987,5779488
10606,6984,4068710
50607,6984,7245090
30206,6983,21897907
24505,6974,5272479
10704,6973,17932226
14504,6970,2869207
43002,6965,2582897
14906,6955,7156683
13914,6948,34751775
41006,6933,6219889
31318,6924,114408439
2018,6920,9954125
380400,6919,4553348
13525,6917,7119972
60117,6916,1950540
7813,6915,5413471
60111,6912,4624757
9066,6910,9084793
16709,6907,3084416
42201,6905,4367326
2734,6905,17227396
