TRACT,POP100,AREALAND
21304,12149,27435606
20607,9451,11997650
501,8250,40619285
20102,7651,60174643
21305,7458,160587862
20206,7335,7988667
20602,7293,50349185
20401,7286,9377087
30504,7257,16134747
21316,7193,22579417
601,7054,32248686
300,7044,6440255
3202,6997,4421521
10408,6977,29405897
10113,6955,42354718
790100,6858,481100077
20806,6750,50253792
4220,6712,6045411
10511,6677,41811660
3703,6580,6787833
401,6540,58365959
11006,6522,51816764
11301,6520,1789779
502,6517,67472714
21308,6511,8887049
951601,6511,11456779
10107,6454,12724190
3604,6397,13051458
20205,6353,14341881
10102,6312,336563480
21315,6275,21424480
30800,6249,5535252
11601,6242,20993290
4224,6230,10754165
20105,6221,38455665
790400,6158,298678433
602,6117,4320872
100,6116,6928316
4105,6096,8443674
10108,6090,32241378
4106,6081,5444492
790200,6047,435788498
20904,6043,7195889
10305,6038,5255583
803,6004,18036924
951202,6002,143892372
3711,5953,4329825
490300,5952,61987706
302,5927,34806838
21408,5920,42185268
21406,5918,17925372
70401,5850,41958996
2700,5811,12744117
20701,5783,31447552
900,5713,222155531
3605,5703,22539531
10406,5702,55870548
20500,5701,545357138
10411,5700,10067876
4306,5671,5354723
4108,5668,4658058
4213,5658,20765254
4219,5629,5837447
30104,5576,96238602
2000,5573,115115475
10509,5570,31316779
20902,5569,117032591
952402,5561,457886747
790300,5538,260606657
20906,5514,72501794
950900,5507,111782494
952200,5489,217155255
20405,5479,12697151
2001,5475,7244642
2211,5441,3347116
4302,5370,140014497
10105,5359,6068417
30201,5355,5941973
71202,5353,72108199
20400,5350,34612914
20204,5343,67312352
20501,5336,14951223
30600,5336,4689653
4215,5314,5251536
20903,5310,2641380
1310,5273,5643304
21001,5265,264493011
700,5263,3415325
71201,5263,54154228
950502,5246,241782013
11201,5244,15238277
10200,5214,39669619
480801,5213,11143425
2203,5207,3409449
952700,5203,330352528
11602,5178,21656806
21101,5151,15426561
4307,5148,20924639
2103,5144,103729050
480802,5140,15925861
10508,5138,202668382
70300,5133,374014121
11105,5116,15751438
950500,5110,621262002
20703,5103,15108186
20108,5101,56455109
960600,5089,58950344
950300,5087,21090527
20103,5061,43301356
470100,5035,646514462
1102,5014,190660887
3607,5013,5922784
10306,5007,1626480
20201,4999,14700134
30502,4989,4393475
10201,4969,122561788
20404,4953,4726303
12001,4952,569194131
11107,4952,79716012
70902,4948,43775205
10407,4943,135808085
11003,4942,141129939
4205,4933,34875286
490800,4928,556340025
3713,4922,11656936
2405,4920,14303374
953601,4915,6067857
31102,4900,144179336
21201,4894,7508960
3608,4883,4885444
20805,4873,17364009
1200,4838,519173021
404,4832,4792181
11101,4832,157407716
10307,4830,3795465
1001,4828,3206132
10510,4812,4773785
2002,4811,11550548
30303,4810,201858397
790600,4804,16625287
600,4801,12559923
2102,4799,4774987
403,4797,6972959
70200,4787,359198919
1101,4785,89565416
31101,4780,51653832
3406,4780,28664615
31008,4773,26153420
3800,4765,61704098
950200,4761,19964617
90200,4759,370407272
20503,4727,6311087
11300,4726,10050065
951700,4699,1104288665
20402,4687,3902422
21002,4687,374835117
10405,4681,81423313
10110,4675,6653980
20704,4670,32405304
20803,4653,13971359
3303,4651,4032912
21306,4625,12875851
20801,4604,28587240
950401,4604,5590670
20502,4588,8727320
21407,4587,40629142
951000,4581,270080598
470502,4579,20515651
20604,4571,7947896
3404,4561,79526062
1305,4549,7117400
950100,4528,27188915
480602,4528,180548751
951400,4515,14870706
70901,4508,9296267
480401,4506,17490837
3900,4503,256836283
3208,4497,3116328
4309,4496,17967080
20605,4485,8002370
3609,4478,9799755
950204,4470,149442713
11005,4463,47386937
4229,4461,5995225
3714,4449,4046111
20304,4380,5942923
951800,4356,266504408
30804,4335,4673342
10704,4333,1025666
20301,4305,4383647
3308,4304,3805341
960300,4303,212745214
20606,4299,9405449
10501,4299,98925842
20302,4298,2941434
950800,4296,197299950
952000,4287,46229882
10519,4282,9542282
4310,4278,17772763
70100,4275,348437106
950801,4236,162839731
70402,4231,25107876
3707,4226,4925201
30806,4209,73662614
10303,4178,10018585
4202,4167,177720259
10301,4163,57311905
953500,4157,559919767
30402,4136,53566031
970100,4135,735575036
11102,4131,136839504
953602,4129,120094342
1308,4126,15222547
953700,4115,1037993409
200,4115,4516933
70700,4083,12833697
11103,4074,373056628
20305,4068,4506132
31006,4066,15967356
952500,4060,476134940
21312,4051,151609370
951504,4051,3635251
3712,4041,5783809
31001,4033,7354982
20207,4032,60332971
790501,4030,11867703
960202,4014,132432598
1000,4008,392013945
21004,4006,50616306
701,4002,46802562
2403,3988,4498406
806,3984,62394622
4225,3978,36525934
1306,3964,15878924
1312,3964,3487227
2400,3963,198779225
30403,3954,16475949
790502,3938,22708685
1900,3934,3470605
30900,3908,6064552
10401,3903,59880572
3305,3899,2432169
490500,3897,799006807
800,3893,2488056
11202,3891,12059054
3704,3879,3877807
20100,3864,3587485
71002,3856,269979543
10202,3839,27214865
20208,3838,4700594
460400,3835,393811140
951100,3833,115546819
4103,3832,15774606
4311,3823,10477321
480500,3821,13960566
10104,3821,4598394
11000,3818,23788522
12002,3814,31483559
21404,3813,75955099
950600,3811,165251640
180200,3805,1525576425
4902,3804,5858816
950902,3800,76562448
10101,3800,4852709
31007,3797,2074339
460100,3787,725341481
951302,3786,2511636
2104,3782,151150438
2410,3780,4117271
953300,3778,388727776
2206,3776,1259050
1311,3775,12111551
470300,3774,610473809
702,3763,37063704
10402,3762,133135783
11104,3753,2841244
21314,3751,4963408
30103,3741,59001494
11106,3734,39426041
11001,3728,11657129
20702,3727,195504963
10109,3726,84025041
970300,3724,62655083
102,3718,5025370
70600,3714,242244914
10507,3707,359255814
20202,3703,8407587
10802,3703,21574004
951501,3703,21428998
101,3700,2991687
30602,3696,245765555
21317,3681,32309585
480502,3672,231578114
950302,3661,54131723
11004,3661,437748755
10304,3644,226818954
10514,3640,59178762
490701,3631,150915131
4006,3630,34301998
490702,3629,57742794
3306,3597,1946824
470401,3585,40895646
490102,3578,304302745
20600,3577,304566961
952100,3575,42368431
805,3566,3610216
953200,3553,932678906
953800,3544,39160505
11901,3538,17522939
490502,3537,382770657
4223,3531,3144823
21202,3521,6666722
950301,3517,46342110
10705,3502,2982486
21102,3498,14955409
950201,3496,274444426
70501,3494,87443283
303,3484,9966103
4004,3480,27227146
1201,3479,4449337
10521,3473,5415419
2209,3468,2482296
180100,3420,600989862
970200,3415,813014540
400,3411,2194645
951201,3403,73912387
30202,3400,5601366
10703,3397,3513625
30805,3396,4356432
1501,3394,4412774
950400,3384,26022055
550201,3379,315983631
11400,3373,2474506
71001,3365,156854135
4308,3359,3237834
4700,3357,2175502
950700,3356,156595609
10900,3356,13713268
951900,3343,35423777
550101,3338,496955914
80100,3331,1354078840
11701,3316,6272331
1307,3313,24762031
21313,3304,138341225
960201,3299,246276192
21003,3291,67957058
1502,3289,4080426
4218,3288,3161075
10106,3276,14387593
4005,3268,126169161
4226,3264,14988875
20608,3259,2234126
10801,3256,388396850
11100,3250,53953274
10518,3250,3608799
1202,3242,4381207
10512,3238,42228177
480601,3231,230534755
470200,3230,332969088
4107,3177,4571073
952800,3165,375292296
10114,3153,4438416
301,3139,104569189
950901,3138,45106630
980300,3136,25339557
2409,3134,2699771
10513,3134,75554708
960302,3119,107322269
71101,3117,316610648
10409,3115,20333972
11302,3107,1678852
1800,3096,4626525
480402,3083,2565678
490400,3076,117549396
20905,3071,117999142
10115,3044,3721974
10517,3040,516862598
470202,3038,26399436
30301,3034,7264262
20203,3031,13788820
71102,3025,221832110
953000,3008,387723624
2406,3004,5830321
480302,2994,8794570
952301,2989,110606072
3001,2988,2356843
950102,2979,444848673
550202,2952,595956849
952302,2950,19485478
480501,2944,229163507
950202,2921,104333397
953902,2912,345674420
490600,2909,24837071
20200,2903,15946856
10112,2897,126303788
4214,2875,2335806
804,2870,16287745
951303,2832,11501239
20504,2819,4287739
30102,2805,2718982
480102,2785,536432856
70801,2747,2585147
30302,2741,3212884
480700,2727,154690647
490501,2699,24586485
480300,2698,41069396
4222,2692,1958302
490101,2687,307486538
3403,2681,64162984
20101,2678,374993018
470501,2671,33969702
951503,2656,3884669
3606,2655,12262958
20107,2638,139224633
3002,2637,2239168
80300,2634,66121603
20700,2633,94087653
30404,2631,12246969
1600,2604,2098860
952401,2584,213937201
30401,2580,42540258
70502,2580,31480033
1301,2579,5282708
10404,2577,4029524
20601,2574,39883488
460200,2568,561060641
11902,2564,56870492
20901,2551,541621275
4001,2547,36132801
10410,2546,24807553
2407,2544,3842025
21409,2534,160606721
4201,2510,165470052
70802,2493,8336996
470201,2489,65153971
950203,2481,281348166
30200,2478,402426869
4901,2477,1783642
4007,2454,81230369
10300,2451,16105157
960200,2449,416226450
960500,2447,26538793
4600,2446,2996811
31003,2441,17418773
4500,2441,2766536
480203,2423,163438430
4801,2415,1453456
550102,2406,191809132
4228,2399,4812010
10515,2374,10857244
20802,2346,33071801
470402,2334,5720595
11802,2265,4688837
10602,2253,3476653
10800,2248,12613303
953400,2236,606213003
500,2234,4648251
490100,2230,1066183785
2300,2227,1075595317
20106,2226,52226579
480400,2216,60779353
10502,2196,118417627
490200,2195,101497600
950402,2189,10275244
950501,2181,427994906
490700,2162,22335558
90100,2153,726645366
2208,2152,2138560
80200,2144,37134739
4104,2140,13762589
11500,2135,3258431
10706,2128,2426278
952600,2119,1131183954
460304,2118,79943460
1402,2117,5251894
1700,2116,3286946
80400,2099,192429495
1903,2086,11639541
31100,2080,92753656
10516,2075,24855349
1002,2071,2549673
480202,2069,395630074
480301,2060,19323016
480101,2052,285198690
960301,2028,317266670
21405,2020,117393106
11801,2014,5377313
30101,1991,1560245
1100,1984,2914452
30803,1975,17839734
470102,1973,363604379
950101,1957,90211757
4400,1942,3138696
460300,1927,390667776
953100,1923,700961295
20300,1914,9210390
11200,1913,295606209
3207,1911,3147229
11002,1887,6585439
10302,1875,135647587
1309,1855,5059399
950802,1847,122663051
953901,1831,693864638
10111,1794,1919640
960700,1779,152889825
2800,1771,9643661
10520,1763,3600211
3307,1740,1656950
20104,1710,74868303
480600,1700,133400347
30807,1682,222570333
470101,1681,46944937
952900,1651,722415693
460303,1613,30300911
4227,1605,35339909
2210,1598,2161840
10700,1552,9919352
10601,1537,20316854
480200,1527,717619980
460301,1525,102158899
960400,1507,747519355
960100,1488,782142368
3405,1454,12606796
480201,1452,165379396
31200,1423,1444461
1401,1416,3803333
30503,1400,1440426
90300,1398,503015171
470400,1360,457905233
1901,1354,119168384
1300,1333,3805538
951602,1330,45048627
951301,1314,5496345
10100,1262,3587051
480800,1236,759905169
480100,1224,688206790
31000,1211,202919834
11702,1206,2099833
2900,1141,1653764
20800,1042,337269417
3100,963,2194704
480204,934,145670376
2500,934,241120926
30703,906,44018567
2600,902,3565146
30701,886,389821970
30702,879,51988019
30601,759,207757970
980200,565,1745002
