TRACT,POP100,AREALAND
18700,37892,548433004
62614,25232,6206307
40609,16631,23030112
13317,16159,17262139
52430,15755,45927449
52433,15465,3370676
42733,14643,16302066
513000,14272,2759139
2706,14194,41433197
8305,14126,4457773
265301,13527,1595806
4212,12943,4757686
5106,12643,99907751
450751,12411,9988736
1906,12054,7802825
505006,11912,14249041
62610,11867,11691641
86303,11758,6603508
252317,11656,31367219
1907,11611,17979415
52422,11557,6706359
43823,11441,37604363
702900,11373,2209653
43235,11292,15121131
422800,11245,408571
21323,11223,8840978
40616,11213,8477461
504505,11204,1934583
5223,10774,25314202
5912,10640,26884960
275604,10520,1550434
40618,10472,18620766
42300,10335,10008105
920121,10332,12187584
1012,10311,6731525
355115,10242,2205696
42726,10185,16728253
32059,10060,2593122
9608,10056,3812123
5119,9931,37302240
52439,9926,15019713
75100,9883,1494885
450752,9846,17420801
43252,9821,4506758
42626,9775,16910560
43001,9758,14072394
21822,9750,11437131
115,9722,12358222
2409,9707,7244499
52421,9631,2503263
32049,9627,10046266
5221,9532,2946942
52429,9524,2042755
11002,9436,11530654
17065,9344,4676707
21325,9279,6393764
42739,9259,9995611
355201,9199,4655178
76103,9182,1615671
75518,9171,6668668
5214,9131,80768622
303202,9125,3725526
2308,9109,4420756
75516,9045,10100021
52432,8996,1682696
512308,8984,13975635
42738,8924,4991266
5805,8910,12661795
43297,8903,33162165
450743,8901,4278807
8508,8897,18891783
920043,8832,18679079
345112,8830,8496397
980100,8811,5116440
40400,8786,391664039
86701,8776,2135926
86901,8764,1312754
42008,8742,43822552
86601,8735,1298901
20310,8703,5687584
108202,8701,5976110
23100,8697,4561132
437200,8696,2554602
505403,8695,1394180
3811,8690,7098330
5135,8680,15550528
252205,8669,35360080
450102,8660,9584945
60701,8610,1292507
74200,8608,1496391
605000,8603,4098301
87103,8582,1976427
9133,8582,152803270
74901,8576,1002256
110500,8557,4589286
110603,8556,1885183
21328,8556,185296069
74803,8526,1735386
20044,8509,8500123
43517,8501,39753395
42312,8497,4100094
4108,8480,20498207
88903,8479,1948063
252904,8478,55693790
100400,8452,4206694
40611,8431,2567636
42203,8429,11224964
2301,8401,8046627
502303,8396,2331858
253402,8381,16728312
110201,8372,1951191
406103,8353,2209500
382000,8334,1978212
401707,8320,2105841
50701,8318,13399905
13321,8312,1941352
3504,8310,5355441
99202,8308,1789255
504311,8308,2176514
10603,8299,2001830
110604,8278,3510169
610303,8278,3457170
450701,8271,263522448
621201,8259,1640288
11201,8254,14446318
86803,8254,1944963
88801,8252,1247603
52527,8244,3379658
32053,8242,8403555
99702,8240,1961542
75002,8236,1517057
1011,8227,2760214
43227,8221,4495728
8328,8213,7130933
32066,8194,29111561
920035,8172,2466773
400304,8163,3137013
9127,8155,2723229
76102,8150,2393550
920339,8114,33906831
25000,8111,2771277904
7430,8078,1905259
506900,8031,9390456
19303,8025,8396054
52524,8020,2395140
920028,8017,2574480
372000,8009,1558791
1413,8006,10408157
7003,8006,8007701
42621,8004,2625610
74602,8002,1009812
43265,7944,4479644
10606,7928,286503914
62639,7917,1746294
504319,7917,2088417
302014,7906,3840981
76001,7901,2305049
13318,7876,1629636
110202,7874,1319013
50600,7869,6047366
502902,7864,2628380
3208,7852,3889214
11504,7850,1970372
17064,7844,1872375
44507,7840,10576110
911100,7827,161554271
21802,7826,4306306
43206,7819,5118245
302009,7817,5277016
20110,7812,46726968
438100,7807,2001857
87602,7807,1974369
920013,7801,8160745
11203,7798,2021448
512510,7791,23158850
406903,7777,1957286
408700,7774,1133375
308001,7770,3728768
441503,7763,72745500
920042,7762,3785972
32058,7758,6985781
9312,7749,2116750
43304,7744,107629334
43512,7733,3096476
2037,7729,4607027
16804,7727,4126144
435103,7726,51789793
377000,7725,1245112
503315,7722,1647150
332000,7719,3001254
5137,7717,5817635
505202,7715,9163626
506604,7714,2457494
4218,7709,14739575
75403,7707,2498779
16807,7707,5274902
444100,7703,2955571
21913,7702,2385619
40620,7702,2098233
910002,7697,72353311
42731,7691,20569506
46403,7686,7378915
502700,7682,6945743
52437,7679,26335556
450400,7675,3148411
42723,7675,35291755
608700,7670,2511915
40901,7668,2076237
99402,7663,2599551
9331,7663,2607206
21814,7662,4508092
442900,7661,2066523
41910,7655,11145322
433200,7652,3173333
120,7649,3759965
600800,7648,592260
512505,7643,2656750
11208,7643,173344358
32057,7641,4352719
21038,7627,2780983
441924,7619,2184641
363000,7612,4400587
74701,7611,1048296
900501,7610,3117603
2802,7574,5636266
75604,7568,6272518
3907,7566,3690661
9622,7565,2863364
21123,7558,11828022
900504,7557,10574239
7413,7556,5486061
87200,7538,2155058
437101,7532,49264546
3102,7528,2262702
504200,7528,7715088
8145,7520,3391853
9706,7520,5762468
42009,7514,11829143
7506,7514,22295731
20908,7512,10648002
506202,7512,2514795
10110,7510,2185931
30800,7501,4453101
11601,7497,1169192
115000,7489,10612825
86301,7486,1861089
307205,7484,3061616
11711,7481,1131328
44516,7480,10457047
430200,7477,5334087
48902,7472,1659763
74601,7471,1173871
52518,7470,5807267
13316,7461,2673524
13319,7458,7663327
87002,7457,1246020
442200,7454,4191207
504805,7454,1432608
41915,7451,50635129
43204,7450,5221464
433300,7448,2520122
2035,7441,2155889
5002,7436,3064824
87802,7431,1293203
21203,7431,14917479
504318,7427,4364443
7701,7420,2453444
99305,7419,1406277
9502,7414,10402734
302007,7412,4334241
7105,7408,1902986
207902,7405,699776
910210,7399,3169406
153001,7397,2505517
74004,7395,1346293
50504,7395,22999424
7106,7378,6438494
103100,7376,40933443
13414,7375,2868956
49600,7361,3877588
35300,7360,1122296
506803,7357,2290466
21821,7347,2192371
153006,7343,3406973
11105,7338,2134685
331000,7337,2816745
346204,7334,13031487
62643,7333,18818903
19811,7330,9839617
535101,7329,1133932
441401,7319,1856512
503330,7319,17776645
3805,7318,2249656
5518,7318,3235052
43264,7314,2681816
2808,7314,29936409
9310,7303,5180180
9713,7303,20049137
8141,7300,2098244
76205,7297,1780649
13102,7294,1986983
50101,7292,4428351
621301,7291,1562902
11904,7289,2278434
88501,7282,1305980
1008,7278,7656987
7427,7278,1971169
441200,7277,3247503
150603,7277,3464698
40617,7275,2724059
405,7274,4496376
451201,7271,3662205
16502,7271,2102969
52533,7268,2011528
577000,7264,1846201
42307,7263,2477592
381000,7261,1963088
608900,7261,6109858
5911,7259,3663870
408800,7257,1179465
20601,7257,24900795
506305,7257,1092809
379000,7255,1684618
5131,7255,77221985
30104,7253,3273473
43506,7253,4874538
250105,7243,3445680
10037,7242,7776318
21302,7237,377663943
502400,7235,2679680
9614,7234,2252500
435104,7230,7240655
320300,7230,1714743
89004,7230,1292839
45217,7230,2900616
75701,7228,2111670
910601,7226,2654859
441602,7220,1682081
16901,7217,42451983
550700,7215,2159784
920326,7212,73345319
303104,7206,4337501
444304,7202,16787480
354002,7200,14559357
52428,7200,5795625
86702,7200,1149500
40501,7196,5111203
441800,7195,2037733
