TRACT,POP100,AREALAND
2712,9027,11535314
2812,8359,14813240
603,7887,55773742
2301,7653,50814199
604,7470,451696285
205,7421,7994122
701,6986,2051385
1701,6824,2601932
2711,6817,7416312
801,6814,2543746
980200,6725,247513952
2811,6519,1978663
2603,6434,2589138
202,6384,9205105
2304,6312,2409429
1731,6119,2474321
1732,6111,2648434
900,6002,67174742
2602,5746,2654859
2823,5720,85707443
706,5702,137168947
1901,5700,2036814110
101,5650,1602724420
1201,5621,22347855
703,5555,2928020
702,5435,2109181
1802,5379,3159358
1902,5255,8744774237
102,5215,168728483
1004,5182,18605916
1500,5165,3335291
1502,5097,19738393
901,5090,4467475
2821,5080,3601953
2601,5035,3752902
1202,5025,18670901
800,5010,4055752
2502,4947,5336434
1702,4940,2525341
2501,4928,4577741
2713,4903,7766050
2813,4796,85098531
802,4759,2337931
2201,4742,1884236
1600,4716,25027079
2302,4641,3761197
2714,4593,4523928
980100,4592,52881208
400,4582,2618838
1501,4442,107668015
1001,4391,20145462
1801,4372,1748055
601,4328,3218233
201,4318,3383024
705,4279,10383072
200,4254,2821080604
1602,4191,4978214
2822,4135,10861411
1003,4128,12670787
700,4094,5254671
1000,3942,1749931
1900,3873,4483862
1601,3824,2163839
600,3753,4695876
1200,3749,2010010
2100,3686,1612672
204,3582,510254575
100,3420,18091672533
206,3413,6732794
2000,3315,1334897
1300,3227,2720664
902,3158,1146156
2400,3039,2070011
2202,2931,922187
1401,2928,1308396
602,2716,632754
2305,2647,1774657
2900,2503,1407545265
502,2276,904495928
402,2193,1791312734
1402,2168,878885
500,2124,2663616
501,2007,129857197
401,1975,56221215
1100,1657,1196917
940100,1562,343944586
300,1456,49367571113
1700,1345,3435349083
980000,5,20749050
