TRACT,POP100,AREALAND
71019,13470,35318557
100102,9983,41757798
26616,9818,10544155
26812,8840,15098077
80903,8831,27798971
71207,8830,34632744
26912,8711,53746699
100101,8453,29733512
170200,8140,96755871
60907,8103,13820579
71400,8101,40575127
10101,8086,25893634
130502,7925,37045519
50818,7828,8543877
26615,7806,5690947
30505,7734,47247735
1403,7640,15290044
90401,7624,68255535
100804,7584,46869932
26906,7580,5931821
91100,7554,161735201
27101,7483,66844522
171202,7391,5084845
101101,7320,95936373
61009,7316,5618282
90801,7300,5674094
80304,7231,15600390
26814,7225,3586278
26910,7212,60542575
60831,7174,4938012
1404,7099,11982034
26816,7087,4188852
1203,7064,56535139
480501,7013,10305242
100805,6960,11677419
30503,6938,12313283
80305,6931,17812289
11302,6906,94353419
104901,6900,1329845
100803,6884,23040119
901,6876,17592531
2100,6868,31153652
126102,6867,1637765
37403,6832,5636122
21201,6828,10995878
50220,6827,13956127
60816,6776,7239745
50816,6769,17685614
91002,6768,12548221
50228,6767,16285236
70204,6736,28819871
60505,6704,15788204
110302,6703,44032289
80307,6697,11093002
42402,6649,6429941
100701,6632,7490692
80801,6611,8268214
2000,6591,555422368
11500,6531,387119080
81200,6501,90637790
90402,6500,20699532
42401,6482,6057665
23502,6434,6068376
90302,6412,22887049
26717,6408,8734033
26811,6398,3971777
401,6387,12791223
31702,6380,1735601
23300,6362,3023214
100206,6356,13839782
60819,6341,4316660
12001,6331,2536347
30500,6312,2522568
70406,6245,31580738
41107,6242,3534950
41601,6235,4223300
50707,6233,5130540
1002,6213,8381694
81103,6187,50563942
27102,6185,92724168
104902,6121,719993
30406,6118,23628864
25906,6099,7975611
60812,6085,3595429
30601,6067,1519890
37200,6061,2020845
11308,6061,40494945
42101,6052,4982924
60814,6051,4935536
26908,6047,3876893
40704,6045,6836036
50216,6042,36891203
26824,6023,5076992
171101,6002,1862922
20100,5999,363167768
40402,5987,6229054
21602,5984,6296128
26807,5977,8284060
60905,5974,20193580
81302,5967,105705665
42501,5965,5852567
41105,5961,6308550
70103,5957,10009984
80303,5948,14372356
80905,5943,9207516
71209,5938,5049909
502,5928,16821165
30201,5915,877687735
60709,5898,3752456
80102,5889,8590462
60508,5886,30755551
50115,5866,59370678
40601,5859,19671944
60739,5857,8154502
130303,5853,40269279
960900,5853,35153128
60104,5849,3997687
100300,5849,153857699
21001,5835,2987848
41400,5817,3933604
60806,5813,5328792
950700,5802,25065045
100203,5801,24776354
50605,5798,5112997
80900,5796,195745138
26719,5783,5441000
402,5756,13627078
51400,5737,2108035
60509,5735,11477200
1703,5726,13946129
34601,5714,1990422
2300,5712,40098191
71210,5712,4559478
7700,5710,680287
30108,5695,2435032
70901,5690,10543593
10104,5676,13888767
111500,5651,2187487
30702,5651,2405853
26815,5648,3972510
60835,5642,12708214
22901,5635,2469763
60811,5632,4251870
30800,5632,1575437
70909,5617,4176250
70300,5612,104451183
450202,5611,59677694
26404,5598,9155230
26907,5596,6973851
50505,5593,5891025
360300,5588,9169790
304,5586,3713700
781000,5585,7126802
50237,5584,15706317
60837,5582,7844980
50222,5581,4835210
30408,5581,85800399
11102,5580,237353426
1800,5579,11559897
50819,5574,9405492
30110,5567,333237530
26015,5548,6755043
60732,5526,4929647
71300,5520,5651353
50229,5516,10439948
50108,5510,26798460
50109,5510,65555319
940001,5506,1472117542
30504,5506,25781655
60506,5499,6448180
27002,5498,86754441
51203,5493,3762265
60728,5477,4629090
100706,5464,129360808
170100,5448,111771106
23801,5439,3210651
60832,5436,4943459
42700,5425,3146733
110600,5421,171777078
80207,5417,7735165
26708,5399,10424237
80906,5397,8118947
30410,5397,44825385
41500,5392,4305434
951301,5384,26198241
60815,5376,6789796
23700,5366,4549668
70907,5359,5441566
34900,5355,1131082
42202,5351,4021144
951400,5341,406404976
27602,5341,4741564
70100,5340,22518036
60828,5335,1924083
51600,5334,86644579
31801,5330,1424719
71211,5323,6150480
60105,5307,3761700
12003,5290,2379029
130501,5290,161230589
26722,5286,3182605
37500,5286,3563259
91001,5280,4771685
671000,5280,184040049
60839,5263,2644635
450300,5258,245109298
26818,5255,2868074
51101,5254,5816455
26911,5250,17347328
110500,5250,2674553
40302,5250,3255248
42302,5246,4350553
71208,5242,3751384
780600,5238,294548468
25205,5234,3164420
125600,5233,2341122
25201,5225,2526945
26014,5214,5298021
70906,5211,7009524
111300,5210,1776103
125800,5208,959819
560100,5207,262749968
21503,5203,3891818
71013,5201,4097544
670500,5195,1804987
26707,5188,11465678
26507,5185,7103993
1301,5181,5286423
780500,5180,23638965
70304,5180,4240127
102,5178,2329304
40603,5177,5923470
71010,5169,5326593
560200,5164,375906177
21700,5160,5844543
26822,5158,4792314
26720,5143,4780270
71012,5143,4629408
60731,5142,8854610
70910,5141,5997916
301,5140,11605806
36700,5135,3003843
81001,5135,74775280
26823,5133,3680776
50711,5129,6413638
26019,5123,3700192
110403,5122,34382129
20500,5122,4611405
60735,5113,3521681
91201,5112,90181857
30409,5103,20339813
70405,5097,25888856
71023,5093,3133062
71001,5089,5181204
60737,5078,2137218
106700,5075,747589
37100,5073,2307680
26007,5072,12971944
480902,5061,128616761
126000,5056,987365
71006,5053,6528363
11400,5034,113668841
26606,5030,4915588
50902,5025,4527483
30111,5016,166087592
60836,5015,9730383
30202,5014,648046691
100900,5005,1805013
70207,5002,14875344
109100,4998,2372276
60503,4994,3408555
25702,4989,5612322
30506,4969,7991073
25907,4952,6050134
170800,4943,13289944
70602,4933,15001603
60754,4931,3290994
26508,4930,6510697
105600,4920,482387
101200,4913,1621951
125900,4904,1049910
26611,4902,3581166
961000,4896,29474980
25704,4894,2739197
410,4890,6321252
22200,4888,3818524
24003,4886,2630839
50821,4885,4587980
40706,4876,5448813
106500,4872,2669354
951100,4868,15222524
26026,4868,6183742
1601,4856,3227066
21300,4853,1859190
26020,4848,4950802
670802,4847,215567912
100807,4841,9707097
1902,4835,196458307
26809,4834,1926841
101001,4831,89656721
60711,4821,3573179
21505,4819,2692241
1701,4814,2298908
450500,4813,14334808
50608,4810,3276535
34701,4804,1718220
12100,4803,429057258
26514,4801,9136482
61007,4800,3024655
1201,4796,5034336
80600,4795,28798390
10301,4795,36167350
450102,4792,351438378
71021,4789,3409349
1702,4784,3225067
10103,4782,6487459
70303,4781,7253139
50704,4779,4217491
12600,4775,11573980
51102,4774,3741109
601,4760,3785112
10302,4758,48323857
30105,4758,22970468
71102,4758,139373809
30704,4756,1337865
60813,4752,7798510
42102,4747,4972817
50810,4745,2658379
960400,4740,506924603
70911,4736,4280926
21104,4735,7051458
90703,4728,11794613
11800,4721,2326538
60745,4719,3833184
104802,4709,1332334
30703,4702,1283755
51302,4698,2184127
26903,4696,4328590
90200,4687,184905857
60734,4683,5231121
100704,4672,12498245
31000,4657,1038314
1401,4654,7666824
30112,4648,16518238
26723,4647,5995063
42601,4647,2556191
170500,4636,4473881
23000,4609,3475410
34602,4609,1585827
30100,4598,2744896
60714,4594,4308102
60603,4590,7193175
110402,4589,88237579
50227,4587,4738743
26819,4578,1152046
43001,4574,1640861
21601,4573,4184079
31600,4573,1131420
26013,4571,4608872
21102,4565,6399409
960200,4565,6260559
1603,4564,63207494
1302,4562,4453572
61102,4560,7252950
50712,4559,4584160
40707,4555,3997581
21501,4550,1826550
50607,4539,3282588
101002,4538,27546413
451000,4537,127068297
50116,4536,87166399
21200,4532,2627788
27501,4523,5000499
23401,4521,2137560
80800,4517,181772443
24300,4510,1896272
80908,4510,4427907
900,4505,20055857
26509,4497,4383768
60902,4495,14084889
60502,4489,4732142
903,4489,76321890
50238,4485,4906452
21900,4484,6232940
71016,4477,4766120
24004,4473,1304474
27703,4473,20572679
961100,4471,27654235
60710,4468,10212904
110202,4463,200710448
26828,4455,1590488
26826,4452,4137952
36600,4449,2077631
105400,4440,547188
25302,4438,2633204
60301,4437,3344671
27300,4434,8020162
26104,4433,5236162
60838,4431,2605082
790502,4423,11330887
31100,4423,1370667
31802,4422,1892481
109800,4412,1450478
26610,4411,4490315
30602,4395,2031224
126202,4387,691365
20600,4384,4364171
1300,4382,551351764
12400,4382,16263465
27503,4376,8390455
110503,4373,20140057
30407,4366,75149039
60833,4362,6865848
60750,4361,1913040
20303,4361,1950718
790600,4358,33996439
180500,4350,9544617
70404,4346,39786434
24400,4335,1657357
110800,4331,1310229
50236,4321,11550735
103900,4320,269683
80206,4318,2880626
60725,4314,10624863
104801,4314,292925
104002,4309,3842533
490400,4306,470940390
100806,4306,17167017
80209,4305,4064135
50807,4303,2563550
34500,4303,953571
32500,4301,806486
80202,4299,107596232
670101,4299,89946524
60823,4297,4216468
11998,4292,1494682
40902,4286,3243438
61001,4283,194447974
27400,4283,7513410
103700,4282,820085
110404,4279,39374001
40705,4278,5433874
8200,4277,628213
11703,4274,1737541
34702,4274,1557740
71020,4274,6724554
170198,4271,411372538
70102,4270,9603460
26027,4267,4867815
70402,4265,536151392
26726,4265,4439346
360400,4256,15491842
42504,4248,5093555
40805,4241,4767068
41302,4232,8967346
951000,4217,15894784
15700,4213,1874979
570200,4212,12903073
6800,4211,480128
100800,4209,1084917
40606,4208,5055031
26605,4207,4248395
41200,4205,2665597
26713,4190,4150732
780300,4189,71102890
670400,4185,4803923
950401,4181,69707331
10402,4179,131987736
110100,4170,181482720
110700,4170,166010742
170400,4167,4893305
80400,4165,417521463
25401,4165,2822710
37601,4165,2882748
50210,4159,116158992
101800,4153,1181801
70105,4147,16392115
60830,4146,2877112
70200,4145,10082553
171600,4143,3208984
80300,4140,275927335
26207,4140,4604794
50823,4137,3901431
26021,4136,5423100
26724,4134,8119115
50215,4133,18272717
71014,4129,2571050
110501,4128,13359549
37402,4128,2127489
40102,4124,5810969
70601,4120,2768990
60733,4118,3443726
40504,4110,3252868
71025,4104,2368811
130304,4099,5091492
30103,4098,47197412
70702,4095,13805204
490300,4090,7768541
25403,4089,2015206
36300,4087,1290570
110301,4084,48169126
961300,4084,502443733
780700,4083,12720809
26406,4072,1765805
8500,4069,936189
24600,4069,1906731
100205,4060,13910187
27601,4057,2668283
180600,4049,14484337
30300,4045,4403787
790700,4038,454621162
50824,4037,3030778
80101,4036,4343376
70802,4036,3113456
109900,4034,2598673
109300,4032,867191
70208,4028,42968295
25908,4026,4322029
130600,4016,197996215
111400,4014,1439830
108700,4013,1116192
36400,4013,1296535
33200,4009,1908036
26005,4005,4598018
90601,4000,3514560
42900,3989,1211122
13200,3989,43902464
950600,3987,177637405
1003,3986,5420962
36500,3985,1296628
70205,3984,90266280
130400,3979,211920767
90500,3979,9630425
70705,3976,31845807
1202,3973,5692166
107000,3971,479106
951303,3968,14068251
21502,3965,1983492
70604,3961,3606860
51201,3958,2374127
940000,3953,1164725922
35300,3950,1284611
20300,3949,159487953
60829,3948,3241042
51002,3943,2219409
51202,3943,2540058
70504,3942,4073983
670600,3932,14322856
26516,3931,4097129
