TRACT,POP100,AREALAND
820400,13131,2107039
730600,9298,6292474
314301,9287,15284087
501102,9185,11379313
250800,9069,2070595
756102,8777,74237520
315200,8693,15224829
632200,8677,23694520
368400,8606,3397327
316300,8441,10387608
713100,8441,71143965
749100,8371,67067906
813601,8332,26231221
318300,8327,23831824
708100,8213,91788664
213100,8203,61019586
356400,8136,3253569
417901,8127,1851590
615100,8101,57059731
251800,8098,2496769
732400,8018,994658
631800,8014,12001490
743100,8000,55941701
170702,7995,697331
254402,7992,27274089
719100,7985,79295016
739500,7945,16822523
365100,7918,30460509
420302,7889,4947448
140400,7859,1874512
801700,7845,1678137
359303,7839,20538136
646101,7837,32191391
709201,7812,8745892
321500,7791,7258898
334300,7768,9828867
315500,7754,8227151
526100,7749,41372342
812500,7688,29419391
333100,7687,7100683
820205,7658,148893408
321600,7615,6502288
403100,7599,6497382
509101,7584,30569185
613300,7555,21965658
631200,7552,16994680
414200,7549,24662520
252300,7496,4622345
331300,7477,12913536
411200,7453,8807188
314102,7448,6351831
418002,7444,2065363
732901,7444,4930718
388200,7431,40967067
503102,7428,21132424
503101,7405,19109597
420202,7404,7030337
252601,7400,5225803
730700,7367,8478690
542101,7354,89362591
802601,7351,1813518
712101,7349,34151685
810414,7340,53447785
525101,7314,22383261
420301,7295,5787595
251500,7275,2286506
813301,7273,12149437
644200,7272,10362785
813205,7254,25849518
753100,7254,58084889
614102,7238,28424893
203100,7232,3756806
321100,7218,15218344
654100,7207,43230345
14402,7201,41040480
209100,7176,11006423
251600,7164,1451063
750200,7160,30525350
820300,7157,18271703
653101,7131,19811085
812800,7112,40430983
316400,7097,12441134
614101,7093,10968447
731002,7081,2649913
508101,7078,25788792
341800,7075,1411730
331102,7073,13540498
356500,7067,2261493
333602,7049,4343813
170301,7045,1576130
821101,7041,7386428
710200,7039,11640131
802300,7033,1175072
360300,7014,36041834
442103,7009,16629282
260402,7000,16751218
334100,6999,4409997
510200,6999,4882608
367200,6990,25869067
341200,6988,1103339
502,6986,847704
336300,6985,4001533
341600,6985,1523337
802500,6973,3548286
631700,6972,18616909
317101,6966,9935094
403400,6961,9636426
422202,6961,4886911
332300,6955,5170813
210500,6946,4662979
268200,6940,10737361
813404,6933,21442052
321200,6923,4596521
92101,6921,1306107
211300,6916,8303286
416200,6913,3467380
510800,6900,1139392
341903,6888,1391724
13500,6884,23627496
210100,6880,6531587
253202,6861,4109387
410400,6858,10315487
632100,6854,23949286
520100,6854,8936958
10405,6853,364894
545100,6844,28303368
140300,6843,1548879
318100,6825,15685664
610203,6818,14224556
410100,6813,25068332
370101,6807,1419766
326102,6804,48868317
314101,6785,8081956
422600,6779,5015220
754100,6778,25634425
738202,6768,27317090
525104,6765,16845909
616100,6764,42767440
250200,6764,1456654
359400,6754,576837
264100,6752,22999252
341400,6747,797534
820500,6739,6941012
262100,6723,22011710
406102,6718,19978202
269100,6716,60534393
316500,6714,13404585
613100,6712,25683519
412100,6707,9247113
340100,6698,2010833
737300,6690,14149202
310300,6689,1077954
334400,6681,9156852
735100,6645,36393380
332202,6640,5672617
812600,6639,15309163
800400,6632,2175825
633200,6622,66564672
440101,6608,14196594
254100,6602,6809851
383200,6591,2409101
761200,6589,23468298
800201,6577,3201499
100500,6576,857716
214100,6569,30817077
739401,6554,6301039
311400,6550,2142624
359100,6544,14847541
612202,6540,24843935
310200,6537,1909151
333400,6524,4883574
560100,6508,44909762
361300,6506,33922990
730100,6504,5628123
413100,6494,10254203
545200,6478,41435186
404400,6472,6865923
51101,6460,1159397
530600,6456,99263933
416400,6454,4623472
211402,6442,10504903
313101,6440,28810311
217500,6420,2537719
388300,6405,692875
320106,6392,17823576
751101,6390,52137181
600203,6386,19560055
358300,6380,7555762
253204,6379,23603153
812401,6365,20064498
310602,6358,2265967
383800,6356,5267365
731900,6351,1089768
383600,6341,6172992
402400,6341,4425194
510700,6340,2141970
418201,6335,6691936
912100,6330,56384679
419100,6329,7073489
506102,6324,23274589
358600,6319,8711051
700100,6315,99284822
511301,6312,3264352
542200,6311,49507148
508200,6305,21893695
820101,6295,81855297
630301,6292,18453139
813602,6281,30863484
322300,6281,5031601
356701,6275,1136104
342201,6274,519545
416101,6274,9633494
335200,6273,3312992
740102,6266,18530073
335100,6259,4138742
361200,6259,9770688
363104,6259,15236629
250600,6250,659027
810700,6247,3478193
170601,6247,1287845
353102,6238,983737
373500,6237,3383235
387201,6231,12977623
746100,6228,46030048
740101,6227,24671185
561400,6225,8323104
822500,6224,72918526
530801,6209,22291352
204702,6208,2433303
13600,6203,18725179
502101,6196,5008129
310601,6194,5040417
202200,6188,3452798
709502,6187,6097321
204701,6185,7260827
726100,6182,79621147
