TRACT,POP100,AREALAND
14809,8360,10292222
16611,7851,25734361
40206,7643,21663044
41000,7443,26757216
16301,7385,7448029
16808,7377,38429963
14502,7374,4192786
14903,7365,3414825
40100,7315,124745857
13501,7213,19400289
14810,7083,16994139
16610,7062,24558635
41802,6720,34553472
16401,6711,20808986
14811,6677,17407780
51702,6577,176916227
16608,6561,60197159
43300,6553,7660748
14808,6476,12655743
40204,6451,6926052
16612,6450,25544753
16806,6347,35430164
13607,6255,4260345
16614,6239,12302700
14909,6186,2499213
41701,6164,10494146
13612,6158,5404056
16613,6109,4306452
41804,5980,24720696
50105,5939,41879658
13800,5901,16837835
14705,5891,5752199
15200,5783,8879476
10502,5779,4346629
42203,5705,12375673
12500,5660,2033283
15000,5659,12936604
13613,5657,7158034
13508,5655,8256050
43400,5648,66754121
42802,5612,58938963
50503,5604,26945661
16609,5595,39198379
13611,5572,3500936
50302,5521,121748641
50406,5475,14296447
40700,5461,6101558
13610,5460,17022447
40201,5446,9732880
14000,5441,2951110
43000,5414,40510864
50601,5391,96441583
51801,5359,75575619
14906,5339,2839054
200,5298,1780189
41900,5289,83120851
50407,5238,49274664
40203,5182,59871731
42900,5105,69732220
50701,5068,63623143
50103,5063,121412448
50104,5031,9453211
14904,5003,4326628
14100,4985,2447035
11800,4927,39858016
14907,4921,2170502
14302,4908,3177783
51302,4907,45390885
14813,4889,7542939
14703,4827,2505618
12900,4823,4757109
13903,4820,2747066
11203,4805,2694326
10800,4796,6098130
42204,4773,13289236
51900,4760,86847544
40205,4699,3338843
12200,4676,3379565
50604,4674,23433706
13906,4648,3757292
12400,4637,2490727
50304,4616,83132859
40501,4605,10394067
16306,4598,4346475
10400,4591,2402622
13506,4567,11780772
14812,4559,8928254
50408,4534,60632028
41702,4472,6013566
50806,4454,37017607
12700,4392,6588729
41803,4384,17600653
50405,4378,11324203
41200,4368,7040083
14814,4361,8234237
51802,4354,12119010
12000,4334,4551842
11206,4319,3206253
11700,4260,19466014
2400,4250,1384589
50501,4201,110698240
50804,4188,52105499
13905,4169,2354284
14404,4159,4403230
13604,4156,5161750
14803,4150,5562304
50808,4150,5767786
16309,4125,6651321
50506,4112,39284996
13615,4107,4364419
10300,4106,1836196
51701,4103,120307973
51008,4100,7648434
41500,4085,3278419
51308,4074,27129220
13700,4071,5137451
42208,4016,16186151
50101,4013,51651467
11202,4003,3735764
42100,3997,53129656
50801,3979,31415376
50603,3956,5175390
10704,3947,3610310
51400,3878,49909272
41400,3839,6760776
51017,3804,6505375
50200,3744,105965944
2600,3730,461552
16308,3728,12570533
43202,3722,293374944
51013,3686,21387629
10104,3620,3629091
14403,3611,1939502
50401,3606,89551372
15100,3594,2580091
42500,3590,7725361
1300,3588,2268569
51011,3580,7782284
50403,3517,16960913
2900,3499,1156017
13901,3492,2384628
13505,3489,5836889
11400,3456,3812643
500,3453,499652
1100,3375,533675
15900,3344,1918223
16404,3334,31699571
11204,3313,3228683
11900,3298,14296321
11600,3287,1885134
13614,3258,1889492
2500,3235,745729
51502,3228,90264148
11000,3201,4420381
51313,3144,7692068
16904,3096,95345002
42000,3064,89591320
3002,3060,1131775
16200,3051,3982304
50805,3038,34841219
42205,3019,8356946
300,3012,483101
2300,3003,341206
16000,2999,1948227
2700,2990,1281988
51307,2975,7122418
400,2957,1005380
12600,2945,1901267
50303,2935,73001458
15400,2932,2435271
14706,2929,4613887
10105,2916,2266543
11500,2908,1764755
12100,2901,2925796
602,2876,617310
2200,2874,258393
50905,2848,58994791
42206,2822,10287853
41101,2816,2439232
14402,2807,3747368
51010,2795,12570798
50708,2774,7387278
601,2773,823318
10900,2773,2316824
16307,2756,3511266
12300,2739,1047568
15502,2686,4624421
11100,2654,3062231
13200,2653,1508601
40502,2645,31727022
50904,2592,5321470
50707,2578,4430094
42207,2576,10305786
43100,2573,154160052
51314,2525,18684335
13400,2504,2521158
14908,2425,632934
11201,2421,2415381
50505,2420,6524655
1600,2419,336585
2800,2378,1112075
40900,2374,1404247
16901,2364,53638878
15600,2343,1679645
51009,2313,12531385
51312,2290,18890377
15802,2276,3519483
900,2267,399354
13100,2248,1611021
51501,2246,18347319
11300,2244,1502593
1500,2231,379970
50903,2161,6037798
50703,2153,13377962
14501,2134,1004722
1902,2113,4762699
41600,2107,2773164
1400,2103,477937
41300,2059,2298941
10703,2036,796273
10200,2034,935922
42801,2007,88959735
11205,1968,1532323
16100,1961,2959574
13608,1959,976164
50709,1956,8201247
51310,1933,7717356
13000,1927,1236265
14702,1910,1912809
51012,1908,6461163
13300,1907,1425794
16807,1901,22572475
51014,1881,8200696
51016,1879,3774727
51015,1877,10644743
50710,1870,4547632
51311,1832,5228391
50807,1824,2435046
13507,1819,3060494
2100,1809,299269
50706,1772,5473349
10106,1760,518834
16805,1723,46166904
1200,1605,418462
14200,1600,3051559
51201,1513,10970302
50711,1505,3731354
51309,1488,4107441
14301,1317,7955341
51102,1029,1916148
51103,952,10381839
51202,856,3865149
51203,792,2366205
51204,652,2584373
51101,629,2363153
51205,580,3656418
980000,108,12794950
990000,0,0
980100,0,5259494
990100,0,0
