TRACT,POP100,AREALAND
715800,12984,12610503
715701,12850,3832296
715201,11817,2472630
715600,10459,2354771
715001,10354,9866550
7601,10344,270665
715301,10137,1850054
8214,10076,22626538
11404,9976,35975470
717200,9136,40038839
717101,8832,14342785
38601,8476,7830647
35100,8436,10419968
33600,8427,5559876
718000,8072,53929655
8403,7969,8374970
223802,7966,7993877
11806,7947,11175752
810402,7934,12538756
54100,7934,12498287
717501,7920,7657902
22200,7913,4837408
52100,7873,3888303
21601,7872,26231980
36800,7844,4442989
734003,7788,19536968
4404,7787,3270296
116500,7777,22793668
4407,7733,5095429
53200,7723,3145759
53105,7699,5281376
264102,7695,6252580
48200,7694,3121311
603400,7573,5181493
722100,7553,12614516
10503,7549,9025223
500601,7543,18668992
10501,7540,99731441
608700,7489,9307767
501606,7483,24423210
3201,7475,7430361
608403,7473,6368085
8504,7460,14097149
501604,7438,9150570
11301,7405,43570522
36400,7403,4962700
46500,7375,14910362
7500,7364,302077
502002,7359,31638961
44800,7336,2139318
6205,7332,3828907
804801,7330,17672514
1504,7324,3625820
51000,7319,11276319
14700,7318,1269780
10403,7313,9228183
32000,7299,5089764
703804,7294,38695501
6207,7294,4017445
14000,7290,5778027
53402,7290,32917288
11804,7289,30846290
501209,7286,8823243
22102,7285,26482159
5602,7282,693787
55100,7275,8267038
811900,7273,120371730
811102,7265,48955696
40803,7258,10513624
35500,7256,2048209
734002,7243,11095485
45100,7241,5366481
603507,7239,6027595
803300,7237,30080263
54400,7217,2163889
54300,7216,3214289
703801,7215,37364466
717502,7206,18749525
6208,7190,4880626
54201,7173,21194747
809503,7162,14977785
43401,7151,7908434
607503,7150,5445904
38202,7146,6528346
53705,7135,3225393
40200,7121,7245521
3301,7112,11932456
700,7108,653282
3703,7108,3804908
6604,7107,8423890
2703,7097,2118399
810600,7091,50475274
501102,7076,8763852
809600,7071,9513025
801500,7060,14457587
3300,7045,1789832
18200,7043,1594712
735001,7043,4206749
11202,7033,106395940
732001,7025,182479161
19305,6995,784234
4311,6975,4444644
607701,6969,3337690
124700,6956,1535406
13600,6923,1701812
47500,6918,3632853
731102,6903,8952236
2604,6894,3171751
53807,6878,13389186
246101,6875,6037569
124500,6867,1699723
30400,6854,538486
810202,6821,20318125
702208,6819,44034369
40102,6807,8994947
50704,6793,4820120
715202,6784,1071388
902,6778,519397
703600,6776,127431694
610500,6775,5621954
32400,6762,339144
29200,6754,2776510
20200,6750,14514246
735004,6741,3317103
17200,6701,3192005
21602,6694,7945473
34900,6681,1712234
723300,6679,4316961
40902,6678,19236155
53406,6678,9982059
700505,6672,18526269
603501,6669,7411294
31100,6652,8186424
715502,6629,929999
53905,6629,8691200
125000,6628,851789
246103,6608,5520294
10200,6606,8771365
373400,6599,7050646
44300,6598,5371571
11400,6588,2308180
713100,6573,4318149
256804,6572,29792622
603506,6560,5062806
40400,6557,5290442
403,6555,2232121
13002,6554,1175279
811301,6545,9046112
701401,6522,51130901
700602,6516,8165264
31903,6516,517212
1506,6515,3596422
19700,6509,1228935
31900,6492,46517810
30900,6485,760385
37602,6481,4619185
41701,6480,1591752
811501,6476,6793318
11001,6475,31514771
4501,6474,1579672
17500,6470,4647860
53805,6468,16913773
15202,6467,256773
703700,6460,115129630
11500,6454,106647810
2702,6454,5399799
715401,6454,4806970
52300,6449,15580586
609205,6440,62919216
701103,6434,9630124
46103,6422,6691931
52200,6421,3083911
3303,6419,5721802
51100,6416,1557252
714200,6416,5936496
701105,6406,9368635
608404,6402,6847061
53602,6386,27282722
607702,6382,3118231
713900,6381,3954192
41500,6380,12446000
500204,6374,11364899
5000,6372,10221592
203600,6372,1204999
608211,6367,5902356
700603,6361,6459163
611000,6359,2842521
603302,6338,3753669
10100,6335,1768883
60002,6335,1865532
373100,6331,45235894
800800,6328,5560937
246201,6327,5289698
12001,6326,8675776
11403,6325,28312462
810201,6325,25772854
501603,6316,6669588
19600,6313,1604237
14501,6312,462258
704302,6298,52740508
124321,6296,2437381
720206,6289,8865115
3001,6287,26068847
702909,6282,5687458
502001,6282,17393968
216701,6282,38272103
803700,6269,4127084
54202,6266,42615215
723200,6265,5084281
246001,6263,11708540
15300,6257,1603857
15200,6255,2026199
732101,6253,8549739
9500,6248,603392
602000,6247,1754176
25100,6227,2328140
607507,6227,2887880
41706,6227,5007741
18000,6220,4971553
4307,6218,8429594
802100,6213,5197069
20000,6212,9131396
46104,6210,23562683
3003,6209,7953704
702702,6204,19724747
500400,6196,4984406
702500,6191,14840977
15500,6189,3704990
40805,6182,10394307
182302,6180,437690
45701,6177,20187590
1414,6173,3170899
812501,6172,49031943
182400,6169,645069
8211,6157,8039925
38300,6145,1339355
38201,6139,9582311
39400,6137,1733134
700407,6136,2094595
38500,6136,3169513
47100,6135,3856834
804200,6131,7024115
808600,6130,36398505
35200,6128,8744046
31700,6125,758872
3904,6122,16061286
803202,6116,12245088
38400,6115,4556513
37900,6111,4917627
608304,6107,4507707
800900,6107,21705707
8604,6106,8307726
702910,6103,16986043
53300,6101,2365913
23402,6099,1523459
7701,6081,418916
714000,6079,3683869
37800,6078,3802284
36700,6071,2397871
15400,6065,1272880
35300,6062,1109270
59200,6060,2876073
53501,6058,18914776
4204,6054,14441099
37000,6048,2961425
809704,6046,8142020
501609,6044,21142853
15900,6041,900738
30501,6038,42021678
703000,6035,16757299
404,6031,2430196
44100,6030,6938250
41901,6023,9949138
42602,6022,8670540
45804,6016,46060390
801300,6010,8344235
501201,6009,7218002
34000,6009,1491350
810001,6007,7173228
9400,6003,622913
3801,6002,1300710
40500,6000,5433138
502400,6000,56793865
811200,6000,33593921
32500,5994,2279888
603301,5993,4542080
32200,5984,1042522
38900,5982,1105233
6703,5979,3526322
37500,5979,3156603
717400,5978,94228038
3006,5965,4843828
2700,5952,1091302
44000,5951,18740696
30500,5942,943692
21200,5935,1138213
52605,5935,5969316
1805,5931,4087501
1418,5921,1755076
46201,5920,16471128
124402,5917,3614514
42200,5906,8266352
246003,5902,6580966
4403,5900,3194247
25200,5898,1617443
803000,5896,3558564
24100,5888,8586631
32102,5886,15242978
5800,5884,519420
805300,5882,6398635
500702,5876,11878785
10900,5868,57606268
608800,5867,8656740
704012,5865,9252749
702,5863,7880888
17400,5861,2429904
44900,5842,2303245
711400,5840,3111940
38100,5837,4479721
33800,5834,1327714
39700,5832,2567721
44702,5827,33753496
1502,5826,3666063
725002,5821,2284016
720204,5819,3680602
10700,5816,146011642
50000,5814,2565737
3004,5811,4133284
133701,5803,1058455
54302,5803,6897291
608901,5794,9751003
175701,5791,890983
264101,5789,1576462
11807,5787,18375138
607801,5787,2324212
1003,5784,8532326
8300,5783,2285188
722003,5782,5549885
607502,5781,8039372
10401,5779,90609728
980100,5777,1460681
182600,5775,1812624
4406,5771,7961027
31602,5768,858367
1413,5765,3392108
19303,5764,888917
805001,5755,2514940
22900,5752,1193764
39200,5742,4960538
175401,5737,513102
2203,5730,145405
12200,5729,2969338
41400,5728,6174743
811101,5724,7367882
801800,5723,4614286
31400,5721,1238706
3708,5718,9472416
701102,5715,10750920
31101,5715,131068988
15802,5710,237656
52201,5704,19557513
736101,5701,25936096
11803,5691,7196280
601200,5691,805794
3002,5691,6002549
805900,5691,1461911
31500,5690,833929
717300,5679,42967095
38000,5679,2468339
46110,5673,31113779
8502,5669,54738465
41100,5668,1205651
722900,5666,3041223
43402,5665,16613911
609103,5663,21271835
181300,5659,449277
14300,5658,840829
3202,5643,8576487
4000,5642,1564932
21804,5641,12689986
30100,5640,2177565
501608,5639,7231880
7103,5639,8916440
811401,5639,4150241
812600,5634,9541913
715503,5627,3508263
802400,5626,3745686
31801,5616,570315
36500,5614,3302807
18700,5613,856790
8213,5609,32457796
1415,5608,5372214
2401,5607,2733247
35700,5602,1770113
44102,5598,22587391
722001,5583,4963692
26200,5581,4371597
9600,5577,1089630
21100,5573,22421919
5801,5569,448252
44602,5566,42921534
32201,5537,5647674
40800,5527,16112648
4314,5526,15702645
717002,5520,3270788
501103,5513,10411795
58200,5508,3786292
603800,5504,2174897
37100,5501,2135435
701303,5497,20169253
21000,5497,3007961
501502,5495,6920748
809701,5495,14076320
7804,5489,5272119
733001,5481,7470854
723000,5476,13297174
7400,5474,3708900
181900,5472,953843
6800,5458,1171730
7908,5457,2587615
2603,5453,1900996
216702,5453,28001468
601500,5447,1171356
810003,5447,5361061
18501,5445,266830
36000,5444,1989182
45704,5443,11004485
700501,5432,5513413
3009,5430,4623638
701104,5428,5153251
6103,5423,2845233
8601,5423,12066472
52400,5417,15651373
31300,5415,1374763
181000,5415,825894
610,5403,2704355
806600,5402,5159988
50903,5395,14256444
802600,5394,3041090
11703,5392,7858424
3008,5389,4002806
41301,5380,728003
17101,5375,2081577
801600,5369,1761868
601000,5365,1482252
8801,5364,6200031
124900,5360,730196
28001,5350,2458444
32800,5346,1174766
803400,5344,1704600
16000,5342,5506668
608600,5338,4902290
7300,5338,411830
3100,5337,1243260
23602,5337,1096822
246202,5332,3761249
601300,5330,1442996
31402,5326,4323739
54602,5304,2419832
56200,5304,3438856
704201,5303,6622951
704500,5303,44255573
501701,5288,33519345
7102,5286,2186493
49002,5285,4758162
30703,5284,515482
45000,5282,2487414
9300,5281,552903
19200,5281,1029128
501,5273,2499641
52203,5271,14319512
704013,5263,3533977
812300,5260,5852455
124602,5255,1236062
10506,5253,11068848
21500,5253,905376
4002,5250,1110295
8505,5246,5162997
51700,5246,900413
44401,5242,85561034
1701,5237,770962
7602,5234,282725
14801,5234,989470
36301,5229,3619438
18302,5227,177208
703104,5224,6170181
59100,5222,2973565
501404,5222,2000840
2904,5214,7597739
38104,5214,2890440
17700,5201,1003759
9700,5198,410689
722401,5194,3292047
41000,5193,4012305
12300,5189,617151
18300,5172,576534
2200,5168,5873397
18600,5165,1001358
40801,5164,22068600
41802,5159,4480044
47400,5158,2336890
809901,5157,23080728
722800,5150,3019997
10400,5149,607052
14102,5149,929035
182501,5148,537764
713203,5145,3624454
45603,5142,3503169
806400,5135,5503460
800601,5131,3274087
6002,5130,2221844
175200,5128,468099
808701,5125,14643571
32600,5121,1482748
11003,5112,14145584
601102,5111,1009614
734004,5109,53714338
42302,5108,5840889
4306,5108,18348919
8405,5106,4990770
8501,5106,9281394
45402,5106,8253008
32902,5101,1776284
704008,5100,9772385
371502,5100,37375271
41803,5092,16120375
13900,5084,1487706
41902,5082,10446550
61400,5081,4355118
44403,5080,7650235
713401,5076,3513233
32202,5071,3903401
1901,5071,2850476
34800,5068,1447723
8602,5065,7920079
703803,5062,7760241
30700,5059,1167485
20300,5056,2356725
603901,5044,2280437
19000,5044,3010165
45501,5044,7865960
38101,5036,3518528
371700,5033,18772837
43900,5032,4772036
46298,5028,45597936
44202,5027,4671747
17600,5025,812901
180600,5025,396248
11200,5023,1142139
18101,5023,324385
603002,5021,1436033
7703,5018,388904
