TRACT,POP100,AREALAND
850904,13090,41245167
730102,12283,19456267
740305,10915,3432304
850713,9599,25973666
411309,9486,9048188
700210,9416,4605305
601203,9282,9156761
807000,9219,3758138
740103,9197,6104739
602100,9126,13775397
740104,9010,4209773
800701,8802,27397345
404202,8641,6851426
801311,8300,36270792
602600,8281,5109819
700815,8255,2741895
702208,8244,4207283
800608,8212,11747379
605602,8185,6592171
605105,8129,15506101
751500,8062,12784412
10603,8052,66389969
606603,7995,4696075
301202,7954,5697476
701415,7916,7115743
10300,7916,24894374
800521,7885,10295901
700306,7833,3067908
508103,7778,23382166
301602,7749,6488159
740900,7748,5365390
601204,7744,6930120
301401,7709,5791837
301302,7700,2523137
750505,7660,1972121
603004,7658,44445755
10400,7600,17834616
701414,7592,5750561
803521,7592,5128656
850709,7566,5301400
306400,7563,10912153
305100,7557,126592302
606905,7553,9163200
703201,7546,4257516
303501,7526,8570461
875501,7514,44548430
605601,7494,3563030
703902,7469,2174196
803605,7464,3107315
700837,7443,1559707
875700,7442,68615621
701503,7440,4487400
404101,7434,12750866
803528,7396,5638715
702700,7380,3453511
702402,7373,12298630
10101,7349,14266035
703214,7345,1800885
807500,7321,3081004
800408,7307,10478089
750803,7293,2271987
606901,7291,14438536
704000,7285,2264881
706007,7270,12808736
440701,7268,3906999
752301,7217,4767083
861004,7201,7273271
451701,7200,16177019
700500,7196,168899005
701509,7181,4085037
31302,7178,45572526
860501,7145,38985373
303603,7131,7270993
860600,7126,54747415
875602,7113,28301039
30904,7103,69795867
860801,7092,79231077
701205,7090,6817745
801310,7058,25301636
730601,7052,8249463
850101,7030,25172477
800410,7030,14359691
730204,7019,4782683
701505,7010,3340981
700310,6962,2119505
740704,6959,25835091
800513,6950,5893330
803613,6943,1608019
508200,6928,57044939
804102,6888,2148580
603001,6883,24720863
801707,6882,2089822
752102,6881,42855849
602302,6876,7036480
606906,6857,3498067
702100,6854,22552043
702500,6850,7344772
402303,6849,2862489
303300,6834,30500228
304202,6821,49234310
40100,6821,1189600
404501,6815,3100883
701602,6790,1681986
401101,6773,2929637
801905,6771,4683358
875400,6761,73587290
731303,6734,18296910
700711,6733,4552485
401503,6732,6460970
700604,6725,42530179
301601,6721,5159946
700710,6718,3273329
803512,6711,5431364
807407,6708,5884099
701408,6706,25437585
703501,6694,2203333
731307,6687,6270103
492402,6685,3172828
420401,6679,951863
800409,6678,7986896
700317,6673,46790778
602800,6657,6045191
740203,6655,9296447
751202,6654,4189311
702206,6651,3573906
700613,6636,12601430
740304,6628,6461136
700818,6624,2194564
731201,6619,5272763
703209,6618,1785014
805700,6610,1279858
606704,6606,2878556
601104,6605,15946520
800514,6586,7163916
700819,6585,2193802
801404,6585,5234235
803608,6581,5186094
701206,6579,4932985
801407,6575,5883982
860404,6567,9943132
606907,6547,4067755
490605,6524,2186773
861003,6517,11101835
504201,6504,36821690
10901,6495,41971950
876200,6494,108831058
705800,6489,6820690
751903,6485,31727671
701316,6480,25548210
731306,6474,16004746
807405,6459,7093435
701312,6458,4054064
604001,6457,77946764
703223,6420,4637643
810400,6418,122587770
408507,6416,1770384
120202,6416,981794
411303,6415,3173077
700105,6406,6050789
800212,6374,4271544
805601,6373,523775
402307,6364,2229516
304201,6364,59261807
303101,6361,37114103
700813,6353,2467074
408703,6350,3916161
701211,6350,6559163
876004,6350,7832359
806000,6345,1521331
930101,6345,106046150
303605,6338,2640367
404402,6333,10872306
606708,6328,11926442
700315,6324,6718717
875000,6323,54551478
703213,6321,588534
408100,6314,25976615
11100,6299,22187274
860103,6290,36554901
110200,6288,720072
605503,6287,3161977
860200,6280,46452682
401504,6272,5680855
740701,6270,2802172
700725,6270,736637
30908,6239,31665348
700308,6221,2466071
803519,6212,3215196
810800,6212,18846259
708004,6203,68387875
800607,6200,16425298
802204,6185,8005244
504202,6180,44563966
507704,6176,5899212
701417,6168,2149857
701102,6167,2068442
803606,6167,3319248
801305,6143,8108884
605505,6140,8560774
31201,6125,47839051
271200,6121,3599462
803403,6119,1989698
850712,6117,28318418
700715,6117,2364440
410100,6095,93682287
700713,6081,1393024
10402,6075,51466369
803803,6062,2096194
707001,6060,27326340
401507,6058,2715583
750802,6055,3923218
402603,6049,6057010
701304,6045,7338319
601103,6036,4751124
11400,6024,48727751
702101,6021,1638202
750504,6012,2498044
801003,6009,61935778
751902,6005,7577235
430300,5998,2133865
740108,5992,4358516
272003,5990,1934714
402604,5988,3630361
400400,5987,8966474
701216,5986,1358375
950300,5983,22012402
731103,5974,8562084
403602,5969,2754966
605104,5969,40532057
807410,5966,1197484
851004,5953,22661364
702602,5952,8028601
403500,5949,3127265
450503,5949,927379
802803,5939,4303567
850802,5937,38967530
303201,5937,37423326
807408,5930,28347382
507801,5929,6274293
602700,5929,6824871
260501,5925,3217418
751003,5920,14156380
875202,5919,71074088
861100,5914,55443210
411306,5906,2661346
703207,5906,3991091
805000,5906,1857193
752206,5889,16948648
404201,5887,2402856
702205,5881,4638060
766800,5872,41749046
703401,5871,1780785
30503,5866,41977544
408704,5851,5487317
505102,5840,20843380
10800,5833,263141494
750801,5827,5054080
700826,5822,1999461
700611,5816,15823452
806602,5814,1639718
700309,5807,2319420
151100,5807,1698800
700207,5804,5690429
700608,5800,26878611
702300,5799,40678610
606803,5794,4634101
260302,5786,896864
703202,5780,4115202
740703,5771,2373221
751103,5766,3014250
408502,5765,13032957
740501,5764,3595145
406000,5762,93361158
850901,5761,5457410
751004,5749,13972646
930800,5740,244144504
850711,5739,2985838
704404,5733,2658633
11700,5732,81516028
513002,5731,30986929
602202,5730,5862115
801004,5725,36523559
775302,5722,41293123
700206,5708,12779367
430900,5702,1454314
751201,5702,8139071
606808,5700,5508878
270803,5697,2190787
702601,5689,6498387
802804,5689,5303058
451402,5686,2798499
11203,5672,7609330
970200,5666,120488910
705100,5665,3416280
806714,5649,1738566
850706,5638,6987464
700614,5624,2318194
750701,5623,3432110
800517,5622,11813306
807404,5617,6701337
810901,5614,27143861
875201,5614,70160617
800218,5612,2086674
31202,5610,22791130
875803,5609,44482510
30903,5607,28329397
960400,5603,5539466
731209,5587,7021038
402510,5586,2063830
404102,5579,4713529
850710,5578,3623822
701407,5578,9879867
706011,5578,3798914
801709,5577,2961507
802001,5576,1864688
706009,5569,11726468
805602,5555,285319
701006,5550,4443105
851502,5540,9002275
407002,5532,97179368
706500,5511,2882684
602306,5509,5384553
801704,5506,2343124
876001,5506,6413222
2300,5503,32017625
701001,5503,5110848
700103,5492,70182699
700718,5487,2607797
700104,5486,2409650
955100,5484,131470962
700733,5480,2630254
403702,5476,6327946
730401,5469,2205236
605103,5462,30375102
503000,5460,102288745
506200,5454,61517780
950800,5454,214071625
450504,5452,1161868
440400,5440,2675563
702900,5439,2565054
702000,5438,980655
260202,5438,1044018
803514,5436,4372813
850902,5433,5724076
740601,5432,5286729
606706,5431,3936242
703208,5425,3621453
280102,5421,3498689
751801,5417,27128097
706600,5413,4048672
800704,5406,8596603
701426,5398,4733807
451801,5394,10526952
751600,5392,20048699
507500,5379,25564729
514201,5371,46650315
875100,5371,54085035
2000,5370,69424572
11000,5360,4425974
731309,5345,2647159
30700,5345,61087621
411409,5343,2747528
700730,5343,1779023
804001,5339,836640
750204,5338,5513806
740502,5331,6134908
751200,5321,25678154
806501,5316,1551644
705000,5311,4558191
402302,5305,2901559
606606,5301,2381580
701004,5301,3069810
706008,5301,19311750
751002,5297,2408441
303803,5292,3183866
30200,5289,109910019
850708,5281,6043322
501002,5279,79939977
700810,5277,3522164
731310,5272,2237486
702800,5264,1673498
802805,5264,1941144
605401,5263,3086279
806710,5256,2296969
704600,5255,1899131
130700,5252,1063583
403402,5250,3585772
402404,5239,1694696
970600,5232,21684136
401506,5230,3528037
10604,5230,95680611
800511,5222,4025176
606805,5221,7072812
875904,5216,15208266
700901,5213,1695987
800402,5205,3500727
404403,5202,2302034
10501,5195,9088284
601105,5187,3187187
440702,5178,2834236
410200,5175,33646875
775600,5172,13526006
752501,5170,79374034
30602,5168,17740193
507601,5148,24411397
701506,5144,6061219
250500,5142,8584546
505208,5138,5559432
491401,5135,1204565
701507,5133,5548300
602304,5126,6213773
801901,5125,4415828
875502,5125,43376708
701423,5118,1044573
11301,5118,37782591
430700,5116,2206909
504100,5112,37227967
700834,5105,1416858
402503,5104,4854827
700618,5093,2790533
875906,5081,14451352
260605,5080,9979929
730509,5076,2850146
601107,5076,1339238
730606,5066,4089361
703301,5064,1502778
10600,5058,188561687
750508,5056,1186821
703220,5055,2206440
513001,5051,10899714
301703,5049,9828080
140100,5034,566966
740200,5027,16732688
805909,5024,1174090
700811,5010,1510815
301301,5009,14914947
220100,5008,1154889
803300,5004,2794617
951500,4995,68404800
955600,4994,88680724
1300,4990,9984898
250205,4983,2316099
408506,4981,1883650
701202,4968,8182490
705602,4965,227053
