TRACT,POP100,AREALAND
45500,13200,148238
14302,10881,7063052
31704,10422,225043
60803,9418,17143949
158015,9343,3377790
9300,9325,179099
21001,8946,192407
55500,8688,261669
303600,8658,1720896
123700,8586,321360
413900,8495,1824612
18900,8360,355570
405100,8317,1675508
409900,8312,1732538
405400,8264,1646150
23900,8213,178487
46200,8206,249611
407000,8169,1318434
27900,8145,276331
22500,8141,180022
25500,8092,168637
159410,8067,57050959
39300,8033,181720
14206,7957,20457666
38600,7949,409291
406900,7949,1117982
27300,7939,203341
19900,7909,177088
104700,7907,841802
522000,7883,2852603
20501,7859,270135
21002,7855,172053
54700,7855,170095
99801,7853,456707
410500,7819,1997208
41300,7781,173358
158712,7744,8850305
410600,7741,1645017
169701,7731,25332009
9007,7707,8651407
517701,7679,37303231
42500,7667,293818
10504,7657,3771283
92900,7638,956919
79701,7620,111312
4302,7606,1197479
413500,7583,2000605
157101,7561,1225450
35800,7542,651471
19500,7509,219844
102,7484,106637
13206,7467,14435492
414900,7456,2263277
15005,7452,2356812
12601,7437,94351
89201,7404,1775763
411200,7374,1747711
411302,7369,2496333
9100,7362,179098
518501,7332,6761361
40502,7320,141217
518900,7320,4221022
13501,7309,34267147
137700,7309,749685
54500,7304,167767
146105,7294,2280871
46700,7281,141859
99704,7280,675916
411700,7262,2280770
22301,7258,186810
24302,7237,213258
19700,7213,148088
39100,7210,205723
41900,7205,325906
4200,7201,483357
82200,7201,169857
13604,7198,7214261
29104,7178,1541565
26500,7166,202137
410700,7165,1413674
408300,7147,2200044
13502,7120,27444953
86300,7118,144150
53300,7115,193151
406501,7110,4604599
415802,7108,2569865
8302,7101,7881068
122406,7088,2782553
518000,7075,3274888
36300,7074,221467
11707,7072,11176314
169800,7070,6152163
14208,7058,34131778
159108,7056,7603864
14500,7055,181903
159511,7051,3397772
123701,7050,2203070
140101,7043,7231526
7800,7037,311879
62602,7033,42971013
7303,7031,15264155
13000,7028,5129074
51400,7023,181082
26702,7022,166368
88902,7015,288396
105801,7013,418443
145603,7011,3712191
43702,6998,175301
17500,6988,151593
103201,6986,399541
42600,6982,507577
413300,6976,2184567
411400,6971,2159836
2201,6969,161668
40702,6968,182164
6900,6964,187978
122702,6959,449740
301101,6956,1215967
6202,6949,1152998
406400,6948,4675921
25100,6924,209328
158510,6907,4549192
23401,6903,57430586
6700,6893,212429
408100,6889,2220606
85500,6889,130510
37900,6878,191332
520001,6860,4496066
103202,6860,716368
405200,6857,906127
38100,6853,151507
408200,6848,2124884
60000,6844,439917
408800,6838,2220538
50104,6837,25446931
47900,6837,392476
414100,6832,1782899
7900,6826,197933
411600,6809,9628551
5400,6804,196516
88200,6804,203181
122703,6801,440120
23700,6792,271911
26300,6788,158774
9113,6787,5676161
135402,6785,4673046
404800,6782,2934197
31700,6781,767638
414800,6775,2393352
6200,6769,194004
140700,6761,10706328
7500,6749,227622
103512,6748,675274313
30903,6748,351702
303700,6743,1731005
300600,6740,2772951
89000,6683,248416
162100,6682,710319
519200,6675,2064907
32404,6675,21553642
61004,6669,224494
30302,6669,908763
413200,6668,2505996
12806,6659,1319470
14604,6651,1129001
158304,6648,9297867
410300,6647,1246545
99100,6642,1085050
34800,6640,437468
145702,6640,2958811
407301,6616,7765480
519300,6613,3537970
158514,6613,5569273
101004,6612,570400
21800,6610,299889
158325,6610,3934518
24201,6609,74609168
302800,6607,2208945
300700,6604,745622
146005,6603,3120608
158327,6601,4658965
46203,6599,773907
21200,6596,101018
145602,6592,1459852
30000,6591,415698
146204,6587,2134758
61701,6583,50925251
158511,6581,4478891
91200,6572,167237
6301,6567,782166
411800,6563,1781966
22001,6551,395707
492700,6551,184410078
412100,6527,1714382
5002,6518,113902
9110,6512,4609050
52004,6507,32006950
519000,6500,2349741
408000,6490,1919254
105804,6482,770249
159407,6477,6319695
300400,6465,1798822
416500,6465,1137273
61403,6460,15227387
5100,6459,510445
119600,6458,306450
490700,6443,479153508
18502,6442,227602
20805,6433,1127289
412000,6425,1812673
135401,6422,5224800
91900,6417,450775
13101,6415,8240343
11505,6414,32700874
416100,6410,3023278
26602,6409,303397
521400,6408,2674514
14101,6404,44741835
520100,6403,10786324
12602,6400,89311
