TRACT,POP100,AREALAND
1121,12131,900552
31907,11864,11749991
50601,10920,60787990
380100,10409,90758050
532902,10091,16759181
7209,9770,5715351
11604,9560,52853051
6241,9531,8690929
533501,9186,10420025
80500,9133,19781268
32205,8835,10316967
11562,8697,38137101
712102,8627,16346402
32203,8425,13113995
26002,8422,67688380
7398,8249,5430416
13201,8214,15145608
24322,8197,12438422
11134,8101,14093779
32009,8087,6885980
532701,8077,22882574
11120,8072,12298807
400100,8025,69162799
40406,7996,13914823
210603,7946,35628161
30601,7918,12722586
184108,7822,18264207
95100,7672,72918274
8350,7668,4484888
40303,7628,9331617
407000,7621,43239551
15000,7616,81264384
6372,7614,2247270
189111,7600,7129040
530104,7599,8546326
11432,7545,33303812
25102,7542,5162385
9752,7528,8120664
11421,7521,9311152
811002,7506,30703278
32003,7490,13411907
10906,7444,8486838
205100,7439,34769295
24100,7391,4846810
601502,7391,1673565
15100,7389,19590142
600302,7383,32844702
530101,7358,16547386
967900,7333,199315595
711312,7332,14553988
534000,7304,23616114
311800,7285,47378464
25002,7258,8319312
181100,7234,4029466
9755,7213,11001374
11005,7208,15537154
8132,7202,2649315
11135,7199,14562001
10520,7164,11356447
24303,7164,7589177
417200,7159,14399427
9390,7155,6526757
6933,7124,1512731
10602,7124,3544199
6932,7121,2557334
532705,7119,16978212
20701,7107,8506606
310800,7087,65369420
930900,7086,12857258
11423,7079,14507900
11561,7079,7257973
11540,7067,9772608
406000,7046,67313168
22102,7029,4889864
302,7013,275299053
417100,6972,14047078
955604,6967,57182954
14800,6963,8464219
755000,6937,274187185
31904,6926,7001812
600401,6887,15409769
40400,6882,10773184
6931,6882,2020634
713201,6844,37000957
21509,6831,7812815
20400,6814,7430561
97500,6809,6617572
165000,6800,37269650
711211,6779,19299787
11710,6772,5749578
31600,6763,12243029
711402,6756,10726174
25103,6743,6220863
260100,6717,194830192
7427,6714,7189675
203500,6709,8729436
11111,6690,7846608
8360,6690,4203293
10204,6684,8159332
6397,6680,2307656
10800,6672,74888637
11112,6670,6834094
530800,6655,14231389
7303,6632,11925195
7112,6625,3956804
532202,6608,9121922
90304,6593,5499178
50504,6581,8862096
311900,6574,71695101
204304,6572,4129614
812200,6570,10639311
130102,6564,38466765
7193,6563,4524776
186107,6561,10584520
20402,6550,7173232
7020,6547,4432209
714801,6547,87813154
7205,6540,5387345
9751,6537,27201660
6239,6516,6216831
712400,6514,16793280
6387,6512,3859781
23522,6500,5969692
754700,6500,171392648
7964,6496,2551954
7721,6485,2149690
31001,6483,58815362
812302,6482,5231279
32202,6479,44237949
203000,6477,5051994
530902,6476,11654322
125000,6472,11972353
8825,6468,4390764
967700,6453,78149564
21102,6449,11904703
712201,6448,7012218
11004,6442,14798610
9381,6424,3108305
7492,6421,6184860
502700,6421,5333542
11003,6405,6080523
202700,6399,9942314
930500,6397,140710188
175201,6395,15626751
100101,6390,16015204
7048,6388,2854748
21504,6386,5363385
50503,6384,7492330
136101,6368,7124443
8340,6354,8189074
206700,6352,49481086
911100,6350,122964506
90302,6336,15688165
21403,6330,45721551
601300,6318,10080303
31905,6318,8562685
125102,6317,8464270
8242,6316,5384697
962000,6306,17283357
31100,6303,160341811
711121,6302,17841125
502200,6294,4002864
210500,6292,25516584
6384,6276,2459061
21801,6270,2913796
7199,6263,3524120
714701,6254,26634044
25001,6253,5904823
7424,6240,4371035
20601,6237,12056420
13202,6231,11302159
40203,6230,31503647
32901,6223,20054589
954700,6222,213287830
7922,6201,7913091
10422,6199,6212693
973901,6193,1169107
6236,6192,6512295
11563,6191,10603537
9373,6184,3141526
970102,6168,164143507
190505,6166,7803296
31602,6166,25682947
156102,6160,15741656
955500,6158,189840276
812101,6143,18725107
22601,6140,6157366
96100,6140,57418778
1102,6139,112585664
50106,6119,7414006
32004,6113,6987342
915500,6111,20010913
41105,6110,7753768
6945,6102,1967756
912800,6098,169105512
9420,6093,3984352
976302,6090,110875557
365301,6066,18770525
754400,6057,244323119
7115,6053,1761028
201700,6053,4511660
355001,6051,8030859
11123,6042,19500657
10002,6030,2842869
21508,6026,3592559
365302,6024,18177364
931000,6024,52438245
310600,6017,32720742
6386,6014,4332135
931900,6001,16116956
6240,5998,15520675
9204,5995,18438881
20403,5994,39467660
7301,5986,2755021
533400,5973,22584762
950500,5965,14557040
205001,5964,6933500
532999,5962,17348035
32902,5957,6048216
6237,5953,4402765
30800,5950,70084573
9753,5947,17786150
932000,5945,31940905
202800,5926,6172728
712300,5907,11065091
100102,5903,5420171
570102,5896,141655702
956800,5896,132907341
21572,5893,7079853
7044,5888,2210589
911300,5881,194253987
532301,5879,34334509
756204,5877,4539959
20811,5876,4771782
41001,5873,42201680
97202,5871,5336481
532302,5866,26658703
80100,5864,6109297
10000,5858,10507560
933001,5852,11497716
181201,5851,3858116
205002,5851,17943712
533200,5847,16548913
813601,5839,41312127
22301,5838,8623045
186201,5829,5646324
811500,5824,8477326
31908,5820,5278365
954600,5816,227137949
711600,5809,5311642
970200,5803,231553044
957500,5794,31365893
97402,5787,4556882
601702,5779,31498478
972900,5776,42199874
921500,5774,6345282
966200,5772,43208005
11006,5767,8516185
315100,5763,10806362
964700,5762,51097724
21200,5750,3582796
402000,5750,66582963
455002,5750,13178446
80702,5741,10681939
6801,5737,26087955
713502,5732,5579857
7553,5731,1345276
204900,5728,13561236
20603,5727,5716033
152605,5726,4055218
136103,5720,12725956
22302,5710,8861089
40306,5709,7376993
711122,5706,9677342
11122,5704,5124817
8500,5702,3091005
510302,5702,6493029
972300,5701,197632336
600902,5694,8290060
754104,5691,4587072
4900,5686,2431634
11762,5684,8068215
8000,5684,5363791
30503,5682,7313457
932300,5681,6037510
177608,5672,4436725
21302,5672,9049977
712202,5666,8088826
6391,5664,6521155
40800,5663,76344752
951900,5650,202189053
967500,5650,26566277
955700,5647,367887105
31000,5646,86145356
408202,5646,5867416
9230,5631,1847949
155101,5628,10222302
9002,5627,11220234
812001,5622,8025265
951000,5618,145684711
20902,5614,1931790
1001,5611,175338157
713100,5611,35371577
311700,5608,18812150
530605,5607,5964695
932701,5605,5947541
8166,5601,7093582
532703,5599,13818703
8172,5597,6760969
713501,5597,5428498
115011,5587,4624139
972100,5581,8365444
600200,5577,71515515
