TRACT,POP100,AREALAND
10800,6879,661580
10602,6594,542509
300,6161,1042157
1500,6156,4684714
11100,5903,5718693
2702,5825,479022
2101,5687,600992
1804,5500,601755
1200,5371,1219204
1100,5300,1676650
7703,5227,1017741
3400,5120,911458
2102,5099,725975
3200,5099,447929
3500,4801,382021
3600,4775,305616
7601,4693,1115359
7502,4687,648317
2802,4685,229696
600,4676,1441865
9000,4676,1427114
202,4672,776435
10400,4616,2602393
9102,4608,1816287
7803,4590,986677
9510,4525,841510
9602,4481,1306709
1004,4480,1471925
1600,4471,2667590
2900,4443,300632
9811,4438,467511
4300,4436,236694
9400,4424,1582882
7304,4410,1232841
2801,4398,171910
8802,4360,468578
7202,4303,183977
9508,4243,962212
1901,4206,769304
903,4202,928101
7603,4185,1226616
1301,4160,2855501
7901,4148,402041
201,4108,505004
1803,4102,1136289
5602,4100,273491
2400,4095,556408
2002,4072,849376
8803,4036,1168294
1304,4018,707155
9603,3971,607400
4001,3941,271037
4702,3934,326418
6700,3927,428358
7707,3927,842851
3802,3911,207186
3100,3873,296819
5004,3861,143156
9301,3853,1109091
7301,3841,4684643
7409,3835,404873
804,3832,2566768
501,3829,940249
3301,3824,442120
7604,3803,1369580
9505,3796,1033208
7808,3792,936852
1303,3763,889581
7203,3748,384178
10500,3712,749891
7605,3663,453794
1002,3643,889722
7404,3637,826388
4802,3634,288793
10300,3604,1084591
8702,3574,486411
3000,3561,210636
4201,3548,204529
4600,3543,437422
7406,3528,360152
9807,3523,1037012
1402,3514,895209
7804,3499,838428
7407,3491,608700
2201,3485,415173
7806,3457,671434
702,3452,308967
4902,3449,263879
4401,3430,246895
502,3418,581507
102,3417,1706484
5202,3408,246292
4901,3380,271866
8002,3366,578961
1702,3356,939295
2504,3349,311721
10201,3341,174884
2202,3339,698895
10900,3333,2381015
4703,3331,124124
802,3327,1688582
4002,3291,194755
2301,3266,407679
1401,3258,788095
8301,3220,303973
7100,3218,602223
5303,3215,168769
9504,3208,1033168
9509,3194,648848
9700,3188,403051
803,3174,308153
7809,3155,535254
8100,3153,290284
904,3148,2024710
8904,3137,449343
1003,3111,982460
9503,3106,1423609
8001,3103,322795
9201,3103,629781
10603,3068,464270
8903,3062,305651
2503,3031,292105
8302,3026,260891
703,3022,232137
2704,2993,295339
7201,2985,781457
5203,2979,93419
5502,2968,251302
9803,2968,531060
2001,2926,632724
3701,2916,172840
3702,2906,119532
5601,2900,185309
9204,2889,308465
9904,2886,426198
7408,2867,372349
4202,2850,207646
4100,2836,788701
4801,2820,317222
8701,2814,382686
6900,2799,398513
9905,2790,431558
9203,2775,581087
9902,2774,1294556
4402,2755,274746
704,2753,332346
7504,2730,764081
10100,2699,579230
7000,2697,439473
8200,2695,338424
2501,2688,543460
10202,2631,1069479
5900,2617,641993
2703,2614,163863
7403,2613,330904
6500,2609,509297
3901,2598,120715
2600,2592,2106150
6802,2580,280108
7708,2574,745809
7503,2528,515179
5302,2518,117635
9804,2517,518363
5503,2492,213338
6400,2481,691410
9810,2461,398419
8402,2447,274180
3302,2434,204237
6804,2429,1542277
11001,2423,152450
8804,2417,778052
9901,2364,2102150
902,2317,1867106
5501,2303,164749
10700,2296,891588
9907,2259,466954
6801,2238,244750
6600,2164,285156
5802,2145,682488
5003,2143,94136
10601,2130,224811
1902,2117,877346
7807,2114,522749
9601,2086,1905262
7709,2072,828872
9511,2066,719468
9802,2064,200745
3902,2022,266513
5001,2012,200969
9903,2004,383679
9604,1996,503381
4704,1945,198509
7903,1865,247945
11002,1859,498122
9801,1848,431384
8410,1843,219939
3801,1800,148928
9906,1773,252684
2302,1762,2010924
9302,1750,391905
5801,1672,232951
400,1643,1541239
9507,1525,295290
101,1406,199776
7401,1259,1209113
980000,176,6514228
