TRACT,POP100,AREALAND
7318,9594,32407438
3000,7656,2450893
7517,7409,5109099
7509,7388,30581799
10100,7176,411431943
10200,6870,8729405
964800,6841,70963658
969203,6707,46370626
10632,6663,20340083
969700,6625,50518826
10624,6552,8552286
10630,6442,4964876
10620,6314,9690440
7470,6242,2585436
7461,6232,2605141
978700,6215,41230681
3719,6135,20793118
3104,6093,3618032
969204,6052,35482053
3102,6051,8528247
7519,6043,7804476
10621,5862,2554829
7466,5826,2629840
10623,5822,9683360
7451,5770,5140589
2702,5714,3559398
10626,5591,2587692
7315,5587,9811660
2900,5582,2647514
950700,5565,69889267
968500,5549,9883979
965600,5499,17547675
965302,5493,3885635
960400,5471,6811008
969600,5460,3191667
968400,5436,33699920
7001,5425,3769683
7319,5348,3695280
10617,5347,3879338
10636,5347,8368336
953900,5332,22665690
7515,5331,5096783
5500,5323,2097522
50102,5322,42439055
963800,5298,133272747
900,5296,2949488
10402,5239,329418708
3704,5233,2637214
7406,5228,2600273
7317,5227,71216967
1800,5209,2057951
1700,5207,1263364
3003,5185,4507206
10625,5183,2635305
10631,5160,46650517
959900,5150,35121567
10614,5131,2587100
3714,5111,7095465
7452,5089,3231781
3302,5056,12771663
960500,5043,51775344
7467,5032,2579427
3716,5011,2538243
960801,4987,5484728
964300,4960,9236740
964100,4939,5108082
7314,4932,2597619
3709,4910,2588498
953800,4890,31940383
7442,4877,2603065
6400,4869,2742727
6202,4854,3045144
7505,4842,82825315
10401,4830,116260318
10202,4821,431582718
1000,4818,12832802
5800,4817,1852927
7444,4810,2519565
3005,4809,3044143
3801,4797,2623350
7462,4789,2635452
969100,4785,585515772
961300,4776,819350176
6302,4752,2389053
7454,4746,2359113
7520,4742,2590501
963600,4738,587396871
951200,4736,84573931
7516,4727,5058135
969000,4722,603761651
10103,4709,17882257
7439,4675,3187223
1101,4674,3270154
201,4670,2639872
4900,4665,1724646
970600,4662,693605703
966000,4642,39577245
969800,4617,47830933
966900,4596,60822809
3607,4585,2187520
10204,4567,8707743
7469,4565,2571235
7518,4560,4824217
50201,4557,215058753
952500,4555,3688187959
7436,4548,2253821
965400,4534,471525861
10300,4508,59418747
7465,4506,2008383
7431,4505,2588909
7524,4502,5184081
3500,4490,2913764
10502,4479,6419464
10616,4474,4519106
960900,4473,2454548
7309,4472,3868940
977100,4458,919117332
1500,4458,2813111
7463,4452,2601003
7514,4448,5105495
965900,4441,17770826
50300,4433,585969441
5700,4422,1787165
10638,4400,5219395
7408,4398,2194326
3728,4397,24707454
10106,4394,3071807
10208,4374,52709034
972800,4349,259689669
7472,4345,2604473
965500,4338,10482283
7460,4334,2594817
4800,4315,1190197
960300,4292,2398964
3724,4275,2594133
7433,4273,3154263
6102,4267,2514770
202,4250,1416371
3708,4248,2652439
3721,4245,2612754
960601,4242,17824953
10619,4239,2864231
