TRACT,POP100,AREALAND
8388,14773,8813336
8389,13336,5688856
14410,12675,10857433
14008,11741,5767351
8538,11712,11510753
5122,11238,36853018
14013,11075,41384004
2208,10618,101603053
60501,10399,28136251
8540,10376,15305038
7603,10167,37416936
8524,9374,4984860
7502,9264,143217975
85900,9218,4713596
8390,9000,2288743
1913,8927,31968948
12801,8718,15253511
8559,8672,8582193
7105,8338,12266675
8550,8319,4395779
3912,8255,9879627
13910,8222,5167471
9316,8150,2256539
8709,8139,7787107
8312,8133,2572312
1502,8100,997948183
13402,8046,5656647
961204,7999,244792496
2508,7999,36876387
2505,7983,22852058
13508,7976,5173897
1005,7975,8037176
7113,7952,8549545
9837,7944,21948283
14405,7923,9218652
7112,7916,5579541
8391,7855,2304139
1605,7775,15501382
13003,7724,12258156
8533,7706,3353029
3914,7703,52350052
1608,7666,15849960
83100,7649,2618929
4108,7604,2302497
951902,7590,713760597
11724,7559,9271465
8526,7509,7230021
1406,7472,7357025
7206,7441,8765574
1714,7436,31368527
13912,7399,27369433
14006,7394,5799895
1300,7376,4724168
7110,7369,24218171
970800,7368,11279560
14130,7352,3534867
3305,7325,13322544
60100,7318,6386819
952100,7284,3326912555
83400,7265,2716970
1504,7184,12664366
14603,7165,6574132
8505,7126,3066014
82100,7124,1947366
81900,7123,2623712
2019,7063,12930567
12300,7059,1418926
14011,7059,30024600
13211,7042,52397086
8565,7013,3704672
5501,6953,4051760
5900,6930,6259759
4502,6921,10843951
9204,6918,2522236
1002,6912,9002431
1710,6888,4600559
405,6876,146119534
14506,6865,200122032
4111,6848,5444225
86600,6842,7405099
7401,6828,12010709
12511,6805,1923218
8000,6775,1956147
85100,6770,3739599
970703,6766,147267091
30600,6745,2530470
8545,6731,3128633
8308,6714,4311913
86700,6707,6119712
2108,6698,37183662
13911,6693,36056000
4602,6688,1906083
11902,6682,2446002
6863,6669,6788945
4300,6642,6384318
4402,6641,16031099
10209,6637,2554580
12105,6635,2471067
1812,6633,76075408
15600,6618,3735275
1603,6613,949345
4518,6598,16880506
5115,6577,3268691
2107,6570,35306754
14203,6556,18806717
8200,6521,4497511
4515,6520,11208016
10308,6507,4889862
3705,6494,11705819
7106,6492,166820804
86200,6484,2214610
9104,6470,2607497
8506,6460,1595851
12701,6449,46715929
978500,6443,22916399
7700,6437,6052018
12802,6432,24043513
9318,6414,1280936
13909,6407,63332094
952004,6402,7033508
1009,6372,6896869
970602,6340,523098084
3004,6308,2160881
3906,6306,4907947
