TRACT,POP100,AREALAND
110813,13901,18473291
610102,13043,42721906
210611,12767,11428694
110814,11281,25568227
110513,11255,20049751
110516,10257,27896732
11203,10008,8369726
810607,9651,15364133
110515,9520,14290052
110301,9332,7591103
410201,9321,36484115
11608,9270,17457895
610704,9238,15551165
11500,9214,222634982
110101,9078,19528954
380103,9056,27552733
210105,8622,20034115
810606,8339,24489121
10304,8338,11189224
42901,8269,18765174
10306,8233,31552825
810601,8163,114143847
410302,8152,34602807
210106,8087,17565783
390409,8018,5356017
611400,7944,190315334
110815,7888,6840137
20400,7842,35348801
10308,7841,8880371
111009,7816,15206975
10305,7811,34443289
110805,7793,7787785
11609,7718,27866602
11602,7695,44410107
71003,7692,63206996
381205,7687,4387072
43401,7676,160468813
110818,7656,12300456
43302,7621,57797238
50801,7596,168969120
610802,7591,36589410
210614,7558,13902963
10201,7467,41410387
110817,7395,4171704
50603,7357,5933625
381102,7356,4975384
110505,7344,24278535
110911,7308,7880501
43403,7276,14013320
370303,7217,9088448
610603,7137,7061535
1502,7113,31331550
380101,7112,6265464
210702,7097,6931632
810605,7083,14550090
30700,7067,213952349
411000,7063,46144335
50704,7062,18807691
42602,7061,13384912
210501,7056,69561649
111010,7044,12853696
110910,7040,7853446
953200,7036,250747430
610705,7034,46651711
390104,7020,8049480
50904,7013,67228511
610607,6990,7414469
501,6924,4956040
310306,6924,5193429
42000,6922,12341185
610801,6873,138392644
342300,6860,5376829
210108,6848,8765199
390300,6844,37214430
110810,6832,8746676
810500,6814,11438458
110517,6811,15087391
10204,6798,19654878
110906,6774,5693867
10404,6767,28004721
390200,6766,18497281
210701,6763,28991878
360405,6760,5266474
100902,6754,77951221
960400,6745,149805487
1603,6733,7605750
30500,6718,217367767
50703,6697,20777520
342000,6690,9674631
1901,6687,10406818
110812,6686,7610350
3600,6678,6687670
966100,6653,310617949
50203,6635,39489750
11404,6634,9256885
110202,6632,42843901
42200,6630,14082028
340115,6601,2866538
610101,6598,93828807
3805,6597,8530250
310305,6588,3741154
210300,6579,79426610
972500,6567,172621075
1802,6548,9690782
10900,6538,164593932
43104,6528,8819346
1002,6521,12886628
210607,6508,28036192
810604,6486,14520863
10208,6484,5195412
110807,6481,9197196
110909,6468,7716161
710700,6453,6965928
970100,6445,301636861
210613,6439,8349751
41800,6438,11691787
321900,6431,2385116
50604,6420,6785906
43203,6412,12131149
110406,6395,5120810
302,6365,14815012
11603,6358,7305382
40900,6343,9345839
42401,6334,7312127
42501,6332,3695929
330500,6329,5235201
610203,6325,4233930
101000,6312,304117006
330210,6309,5269606
410202,6294,44384936
360501,6289,4441550
961200,6279,201239264
310112,6264,17717676
71101,6250,53111451
42607,6248,7585622
380700,6221,5140775
10202,6217,47873750
971700,6212,102564087
360401,6205,2636832
310312,6203,3597840
50506,6198,5760754
80700,6191,193964763
210615,6166,7415585
961100,6162,168929677
967901,6138,6160315
610703,6136,11560031
330204,6133,8044708
380902,6133,6563030
50508,6127,5220171
1303,6125,18511395
11403,6117,7708479
51101,6104,93739670
80400,6103,42410525
10702,6099,66871895
40200,6096,19818127
610403,6096,4287061
210502,6095,49663463
953100,6089,9532603
110819,6086,4513025
610401,6076,4064734
50803,6069,118452659
610606,6068,5559267
610605,6067,5585166
952900,6063,12229831
211000,6055,127565841
975500,6040,158293111
810300,6028,152621826
956500,6024,252037381
70901,6011,4437789
60100,6010,192048468
330211,6010,5240841
810400,6004,5149562
601,6003,37908675
969600,6003,330843128
954501,5992,177899555
20500,5987,10334360
330401,5985,7175383
210109,5979,18674505
40403,5976,3116135
80103,5962,18729082
310203,5939,3901577
381101,5939,5453658
391002,5931,1943434
50304,5918,3774445
360502,5902,8136963
320901,5883,5216057
967000,5882,13170661
50605,5873,10475541
390406,5870,7208602
60500,5864,167378222
310311,5831,4806215
966400,5828,27355504
51009,5799,77286475
510402,5795,84082135
951600,5790,8199175
42904,5772,49131327
2300,5751,2660837
969400,5748,220583012
1501,5745,9744246
42803,5738,3754129
60300,5731,168199408
966500,5730,25661171
10811,5729,7475737
953800,5727,18016565
110302,5716,62201997
390102,5712,6893006
50104,5710,34139165
390408,5703,5201523
710200,5702,156545540
42100,5698,5280513
110511,5688,8005094
