TRACT,POP100,AREALAND
940601,10658,12709483
10731,9131,4615801
502,8810,14812270
4737,8660,2683898
10725,8468,9466402
10729,8456,8195349
4744,7711,20591002
10702,7404,9365880
1100,7360,22882889
3722,7223,5541291
4734,7094,1635656
4738,6932,3630531
4713,6907,2823107
4723,6756,4524650
4712,6754,6952246
3723,6743,3760201
4733,6717,2460350
1208,6713,21632784
903,6585,55749830
944100,6580,68397940
4739,6554,2024800
200,6520,32007417
10732,6450,4397556
10722,6441,62037532
4745,6425,2986544
4750,6347,2411844
10734,6300,178842852
1310,6288,4789927
3743,6197,3320745
3600,6160,10392461
4742,6119,4355898
800,6063,7532889
1311,5932,11642942
963601,5914,2837181109
121,5882,2592024
300,5863,3820053
1308,5842,827490449
10705,5840,4094254
970701,5788,41837697
952602,5783,59685102
942802,5739,42182700
3202,5631,4536743
10713,5624,4747347
970404,5528,7186045
713,5509,1952855
964300,5509,22435689
3804,5497,61364985
1707,5479,5771127
10712,5404,3916151
3719,5383,2626353
3501,5380,6569946
104,5359,3561333
10733,5355,2995904
1001,5344,8532517
10726,5335,16218266
1107,5326,2615189
4001,5316,97481993
4762,5281,2471553
974201,5278,27406559
950700,5256,6036073809
3717,5240,2281217
943201,5229,4337543371
4604,5202,7893876
602,5196,1898966918
970401,5184,8314699
3502,5112,11187295
714,5042,3242402
1305,5038,2160624
4757,5035,1688091
3712,5021,2622814
4728,5010,2636729
702,4996,1184164893
3740,4980,1218839
10102,4960,299715432
123,4953,2519294
2401,4933,3226566
4300,4924,3725874
971000,4923,19305452
3746,4912,3814232
10721,4905,4647638
4722,4896,5798735
3707,4883,3175773
3738,4859,1422651
4747,4825,2824928
10714,4823,3563652
4763,4807,1909139
970800,4746,13686560
3730,4745,2680112
3001,4724,2985371
603,4716,1484877
1002,4708,11628478
404,4698,22946598
700,4671,9830848
3742,4587,26986329
980000,4578,124602223
10312,4573,62244178
970101,4573,29934402
4729,4562,4626170
4754,4554,2154780
1003,4537,5125170
720,4531,13451698
4715,4526,56846139
1101,4523,2350565
400,4521,16757778
100,4519,5839048
600,4510,20135577
1810,4510,68758632
718,4500,2244324
1316,4500,4992654
10311,4498,156368843
1203,4491,2793649
940102,4458,168713183
961600,4452,7847072132
10304,4432,58786421
970901,4405,19910298
974701,4395,6116581415
303,4391,4580382
908,4382,932815
3725,4378,2239094
3807,4369,359013685
3400,4368,4617690
1205,4368,6606161
10601,4359,16733869
3728,4351,1585537
943000,4326,1612780307
4749,4319,1233779
902,4312,1913585
103,4309,4220559
4756,4303,4009944
122,4284,2634946
942900,4283,2465293071
711,4272,3089351
401,4270,2439816
129,4252,1324534
957800,4228,12800076
1204,4219,197154976
904,4215,1682635
3715,4192,3963096
712,4189,1431338
4759,4166,3096346
4602,4151,12186180
10602,4134,11185720
716,4133,2389760
306,4132,5185634
605,4119,1626933
950500,4108,2174397967
1812,4107,195805529
970405,4099,58742587
950200,4079,9906834380
957400,4067,14587514
4753,4043,2766687
10719,4042,4270265
946100,4040,1205582783
707,4033,28753368
4743,4027,1501830
940000,4022,1861930158
1202,4021,10204782
4758,4019,1722953
704,4015,2515337
1501,4013,1564587333
125,4006,2453640
940302,4002,28651023
1004,4001,6537234
2403,3998,1417394
1300,3989,2890837
1315,3972,17201992
4402,3950,5103417
102,3942,3115987
11102,3939,523270155
610,3935,47952759
1103,3912,30990023
978302,3910,4538294
4755,3907,5220848
601,3854,2431907
1201,3852,1676950
4800,3851,4129575
957200,3851,15693181
3002,3850,3747286
4752,3850,1920698
2900,3845,3979889
708,3840,38626211
4760,3839,3928643
10715,3828,2375343
4720,3823,2722390
963201,3811,148896623
1318,3788,29765972
202,3779,3290928
943500,3762,1731134405
940101,3761,308582198
3731,3760,7055063
10701,3754,46757979
613,3737,102202120
1317,3735,9834826
970306,3730,25267179
1005,3723,9955111
970304,3716,20079440
506,3709,22171545
945602,3707,2328618
978100,3703,8456728588
1207,3698,139531826
2200,3687,2639508
308,3680,5241119
2404,3674,1414615
2700,3671,2983609
941000,3670,5249045860
301,3587,4437882
943601,3576,347184823
402,3548,1973340
952101,3539,210544934
3733,3535,2243354
960403,3535,155980468
607,3532,23335016
4764,3529,1480774
1808,3515,6648750
952701,3512,538811630
4900,3506,1702957
201,3501,3154825
110,3498,1293626
906,3494,1466858
2302,3482,2299057
941400,3477,192749036
4725,3458,1816740
4603,3455,5895296
304,3454,13394624
10400,3454,42188485
3724,3448,1771496
1206,3447,5935607
940200,3428,273304213
3806,3421,98437806
970307,3410,89605210
3803,3400,95847310
503,3350,1592058
705,3350,14314774
970104,3347,11527444
10503,3340,6617747
124,3339,1699157
962200,3294,8678680
4502,3290,2936378
945300,3271,53911384
1210,3266,4764474
945201,3264,42446245
115,3263,1304454
205,3261,1216552
945202,3251,41781348
1814,3240,43502681
611,3227,387267235
941500,3224,2276544591
1706,3223,1907168
11101,3217,39373671
962300,3216,9320983
207,3212,2503995
4501,3199,2239577
1805,3187,1583088
900,3185,16175191
703,3159,15656660
978303,3150,56763507
403,3141,11163260
128,3115,1309193
957300,3098,7725174
964702,3094,82560372
114,3074,1295736
952300,3066,2384035612
960300,3059,3867741923
952102,3057,1298048310
719,3045,1658984
950600,3023,1522641498
958601,3019,22917120
1000,3014,4455019
113,3006,1331323
963202,3004,166315262
604,2980,2768494
945400,2979,3612852
204,2973,1359205
4724,2969,1679719
1302,2963,1967033
940500,2958,43131635
1813,2957,11953053
615,2951,29117166
958602,2946,43379027
964701,2942,78457648
10727,2940,50290460
10728,2940,10953933
4401,2928,2939907
116,2925,1417999
307,2912,2640449
206,2906,1401794
1102,2902,1361879
1703,2897,89837307
943602,2883,539979432
3201,2872,3852968
614,2871,38385057
10800,2867,235799445
952601,2865,6677157
1500,2852,1491077
964600,2847,1057674605
127,2837,1262584
952702,2825,658127567
111,2820,1339721
970103,2809,9797732
964402,2807,8527432
1705,2805,12026691
1702,2796,816492
3100,2793,4379624
126,2785,1321204
974202,2784,2149747
120,2781,1279278
958900,2781,7377212412
501,2768,1288333
3737,2760,1565380
1105,2736,1780776
2303,2709,2098592
1209,2709,2515485
962402,2709,4931625142
1106,2701,14829369
118,2694,1361992
107,2693,3171004
208,2690,2159463
108,2685,1297390
11200,2675,1793968517
302,2668,7034542
970302,2654,153878612
507,2653,15830542
706,2650,805677951
978301,2648,170840347
964100,2643,2956655390
10315,2632,2947205
964500,2627,60066153
1600,2615,239856017
901,2593,1827968
3736,2589,12796741
945800,2588,889630963
970305,2586,26140533
942803,2574,22949533
1401,2562,972406207
3718,2540,1217949
957603,2538,53563415
946001,2510,103509915
943903,2508,201739317
960800,2489,28188980
2000,2487,1899988
1313,2463,17908869
907,2461,657477
10603,2427,199391539
942801,2408,1679648814
109,2401,1278746
3726,2397,2079897
940700,2372,462205009
1309,2360,53407446
10724,2360,2775749
962401,2357,5879654300
957502,2350,772529969
1400,2324,1232744
117,2317,1282625
1306,2315,4042632
10308,2310,141167806
940900,2307,1775620591
1402,2306,121622609
960401,2306,1920948839
4716,2298,3690830
4726,2297,1137279
1807,2294,2309094
970200,2266,13297057
943906,2260,148261889
945503,2251,1754568
4735,2226,1921020
3805,2223,104738801
1800,2211,2005243
943802,2207,736691365
1314,2191,246796932
960603,2182,13057000
974402,2155,22835781
715,2151,1015249
1809,2143,31615249
964200,2133,3336786836
955202,2133,4181417489
940301,2131,4550369
2100,2126,1276194
1502,2126,21437504
943701,2124,515066227
203,2120,1179728
957601,2101,637650608
940602,2099,911680317
305,2097,1539001
905,2079,647801
943300,2078,800649875
10204,2067,174629431
612,2061,7343480
955201,2056,807545147
963700,2055,5509124814
10730,2051,11640892
943801,2033,58130583
970902,2031,31450972
2301,2024,902590
4727,2024,949798
957700,2018,1618860186
1701,2012,1238790
4761,2012,2262192
944000,2009,3708514523
945601,2009,9995516
3729,2007,4276578
10900,2002,3181361858
112,1996,2195882
940600,1991,174988418
976402,1967,12823503688
971301,1960,1152420289
945501,1951,17287530
500,1941,1645305
1811,1936,25916419
964401,1933,6025844
960601,1913,34820437
970000,1912,8892464721
10309,1903,1132247964
943907,1902,404176107
960602,1898,9113316
10318,1884,2138012
3739,1873,846258
3741,1861,13560954
946003,1861,782671700
717,1848,773969
943702,1818,1051133632
119,1807,1215986
943803,1775,304491687
940400,1773,84611376
10316,1772,2214709
4736,1768,12795312
10500,1768,33174355
974702,1759,1208978020
943100,1739,1004326787
943904,1733,118914652
960200,1726,6393670375
960100,1698,6016818946
957501,1685,8242698961
945502,1665,3524306
