TRACT,POP100,AREALAND
1700,13008,122882644
40309,11328,63991815
11122,10313,58948277
954601,8678,51975604
1426,8422,11495899
10202,8215,96928005
63100,8095,63219119
40401,8037,28402565
1427,8034,27329333
40812,8021,19329488
954602,7661,131665602
4026,7558,32893012
953200,7491,132477894
4509,7321,10968304
24001,7312,25056459
4605,7286,28376657
70200,7255,5143816
30212,7182,8844146
40705,7133,11669152
11117,7126,14941484
951502,7109,250003038
1802,6972,15259306
40806,6945,9789986
30211,6881,9756711
24104,6860,8240158
3506,6774,7635346
4301,6764,60758478
30105,6741,18060310
11116,6725,45756030
4031,6719,12286209
10601,6718,13223123
25202,6702,1882493
13201,6682,109760675
27501,6664,15740794
27816,6636,3848758
4504,6618,7043965
4402,6614,25717469
1403,6596,7440439
4503,6582,11129241
3703,6576,5083310
24108,6572,6294730
41211,6567,6811366
4602,6500,53551649
27806,6453,3207991
953702,6441,242153614
20502,6429,2748116
24002,6423,184571074
70500,6414,24201923
4603,6383,128170003
30207,6372,11703218
4403,6361,27505166
62301,6345,11158868
1412,6341,6265233
29600,6275,631430
1424,6275,7545738
3300,6185,31669625
40708,6171,128052044
2002,6166,344233907
70300,6123,4016096
2101,6116,19433052
3907,6098,3499528
27000,6096,2526939
1414,6091,10476888
12301,6087,8706816
1417,6084,10801342
40706,6079,93369491
10505,6064,45910884
27817,5985,4052276
40502,5971,14819862
3504,5954,4324158
30210,5952,8487697
27701,5950,18917587
30214,5946,10490113
1903,5901,15960258
4606,5898,15602550
24504,5884,215593328
40308,5883,17281819
10402,5852,138492538
3701,5841,4970789
1001,5821,22003219
20201,5816,83392649
954106,5811,18582177
62800,5806,38356408
24303,5802,19880762
953701,5775,129446157
40304,5754,35586328
5204,5754,33344896
954800,5754,188015279
20703,5739,29549830
41003,5738,3915181
1428,5737,23533714
4302,5733,31683144
40710,5733,7313817
960702,5709,667072607
954505,5699,19473587
10102,5685,153201686
3913,5684,3706072
2204,5680,26299531
40305,5667,50047195
4507,5665,4192964
41105,5659,9055570
961801,5658,97072366
40105,5656,155351581
2801,5647,2990687
3604,5638,3049578
20704,5628,126886322
30600,5624,67884168
30302,5614,114049368
28000,5613,52485459
41213,5582,48541838
700,5575,4869877
3507,5570,7143749
4201,5515,13537881
3104,5465,6761623
4700,5448,209204158
28400,5442,2042284
27820,5433,2170245
4205,5424,4810376
62100,5416,15025918
30215,5411,10515273
63200,5410,354018601
953101,5408,8934456
3400,5399,353233068
2103,5382,11134337
2001,5368,131980697
40609,5348,5003849
