TRACT,POP100,AREALAND
53411,14610,19563285
53428,13307,46527461
40207,12721,28822153
71303,12164,41530345
53208,12130,45279829
71402,11784,126207772
950600,11518,121662064
1808,11498,18023945
53203,10600,7566406
53617,10385,6710017
53109,10138,33825937
54115,9855,14087416
2204,9841,16667242
60502,9754,78989626
11705,9620,13293544
60501,9585,46884089
40501,9545,17569550
17200,9369,103604481
12803,9306,32769036
53009,9254,29289221
42603,9240,22287327
21013,9206,12877369
40903,9106,43891666
54121,8953,8112498
21600,8913,33246532
20304,8816,34705457
12300,8808,24767019
52101,8750,7571388
607,8700,10525291
41304,8674,5613151
54218,8672,8617144
15800,8668,59181551
12106,8662,10871574
52811,8517,11385509
5604,8512,5689485
53522,8495,6207525
3703,8478,12314090
20205,8409,69286505
2020,8403,16384324
52810,8391,6441920
54106,8332,14612185
3308,8301,13876251
54402,8201,40599465
51700,8170,44336983
1709,8149,8276903
53211,8124,13972535
41505,8107,12045857
54222,8084,9767206
3500,8076,16655938
1202,8048,18123964
4007,8016,59191709
2501,8012,7639159
21703,7974,23259335
21205,7963,11693697
54023,7951,5830542
1604,7877,7463930
16800,7802,33846954
54108,7771,21292606
15402,7760,36031883
51001,7748,62650864
53608,7746,6208868
3207,7742,13875361
405,7684,33418714
41301,7633,37313892
970107,7622,27527767
16008,7620,12188731
54114,7613,12563539
5627,7602,7845099
51400,7583,30460708
54221,7537,27128990
53426,7522,20042737
3700,7506,163637123
11300,7488,27282838
41100,7370,10038923
11102,7367,30889671
3314,7345,7299043
41307,7343,4963309
61402,7339,10932547
1809,7316,12149650
3002,7296,49469602
950400,7224,18415709
15500,7211,25521745
71204,7201,53733930
11702,7200,90029684
205,7191,62218270
52504,7187,5879284
51600,7182,23394032
5926,7166,16589569
2037,7165,9863777
30402,7165,20472672
3304,7157,5153415
53114,7140,17964761
2000,7131,7734413
71302,7127,25592624
21007,7126,14695129
53512,7112,9086937
54119,7087,6641554
6404,7065,23736026
21004,7062,22854551
920500,7061,176751707
2024,7058,4349612
3600,7037,16386998
51101,7017,68254450
12009,6991,6388233
105,6990,33594389
52707,6958,6060945
3313,6951,6471417
10702,6928,1638742
54404,6927,29123528
53111,6905,16316446
51201,6887,26871991
5510,6875,7723613
53611,6852,3639740
306,6847,154259794
40700,6846,40233508
2026,6831,5677447
3904,6820,8694771
2205,6815,11396083
40209,6811,39195425
52704,6809,2922352
53409,6807,5646671
12008,6788,4194757
20317,6772,7083961
1508,6762,5658429
1806,6760,35564033
53620,6758,6560899
16201,6753,48194567
2604,6746,76703542
52807,6737,42210653
2303,6716,18200049
961003,6694,28654442
30700,6690,25777286
2035,6682,9751069
5913,6679,7313098
53410,6673,4578389
2203,6661,15953314
70402,6658,86381274
10600,6650,10125149
950506,6644,29596624
54116,6623,8459906
11611,6606,4824926
5519,6605,6060922
3805,6598,7243291
15703,6590,6054101
951400,6588,113238335
6403,6588,9578272
10902,6584,33438761
54220,6573,13690305
54206,6566,8874155
40500,6560,111152703
20400,6556,11558153
16502,6553,22544569
53112,6549,13710158
3102,6518,14919640
