TRACT,POP100,AREALAND
31509,10964,19162251
4300,9742,9136574
22208,9406,11410799
2002,9331,8159622
30102,9071,11614201
20305,8792,9899309
5205,8747,4451705
1200,8671,253625654
5301,8524,34267639
10701,8447,14477557
1302,8429,11357352
2303,8334,3511281
22707,8186,17196176
8100,8087,2806579
23202,8054,22147606
30400,7998,521826620
10202,7972,60080621
30702,7784,4036085
4003,7781,1843669
22605,7772,6302324
32404,7561,3706474
9903,7482,7306663
20300,7447,6236847
24200,7428,95066221
32112,7371,6421280
32603,7323,17873643
970800,7285,5406014
1603,7269,13003487
10102,7258,38920540
31514,7254,2754367
31519,7242,3615788
30903,7226,5848073
22702,7223,51024416
30602,7162,77573974
3700,7138,2270660
9803,7087,3312373
1004,7026,3743351
9102,7003,5237121
30600,7001,384403934
9400,6970,3773819
23404,6967,13400004
22000,6921,3606614
10304,6893,3412450
22206,6830,5847581
970500,6802,223812852
30401,6799,86860495
2304,6799,5544817
30101,6796,51695183
4002,6745,2462580
2202,6713,4026210
31804,6711,9693567
20504,6695,6477845
22101,6683,3256865
10502,6683,4969213
10408,6665,2814789
1902,6626,3870651
31504,6625,3667549
31606,6587,2442622
30304,6580,56797296
23800,6578,198178125
31625,6559,1406224
31520,6535,2205541
33301,6533,2667566
30100,6496,272218459
31813,6486,4496844
970600,6473,53861343
23403,6462,9369255
10802,6434,108441470
23100,6431,97269480
30200,6430,4706067
22105,6416,4592858
22207,6414,4050682
5203,6406,2780060
32901,6385,11503463
32700,6374,219205365
32604,6355,3152591
32606,6327,2627914
21700,6322,4464013
10402,6298,35299977
9301,6285,1716029
2502,6284,120347052
3602,6284,2210520
1903,6277,6154348
6501,6262,3642176
2103,6253,4174219
6402,6237,5928822
20802,6217,3193349
10307,6213,7444151
33302,6209,69024649
10405,6188,2128387
10801,6171,112959313
21300,6128,3408283
3101,6118,2946135
10001,6110,2879603
1003,6075,18512680
22302,6072,18529688
360500,6068,5227431
10501,6067,395620027
10407,6060,4250194
23500,6050,93490257
10900,6041,49773946
22606,6010,5342813
31909,6005,2898148
23901,6003,6095105
900,5997,9591548
21601,5983,2465479
9101,5977,1591196
31005,5943,2288763
32001,5920,8322252
971300,5901,5363605
32302,5864,12298087
1301,5861,6630309
1100,5860,53305384
971400,5857,5176801
1303,5791,1979532
21801,5775,3752696
10309,5770,1648347
33000,5759,149949415
20304,5755,2433046
31806,5748,2503906
9701,5745,1822032
1606,5738,1941847
361101,5728,5686520
30900,5721,3425398
31618,5719,1740407
9605,5710,2650579
1401,5699,10883018
23902,5690,33703366
22201,5680,2034576
360300,5673,87831325
9606,5671,1220108
951201,5660,7151719
9001,5642,1649317
20401,5632,4025098
31706,5630,1640132
140000,5627,18867894
9907,5627,8316202
6300,5616,8109523
8203,5608,1705815
31507,5608,3336753
1701,5594,3083964
1304,5592,94189193
10002,5584,1876875
1700,5569,154463532
903,5568,37646531
6602,5551,2519784
31614,5551,1452755
70000,5550,743598488
31705,5542,1623868
7001,5521,3486234
971000,5518,68842060
31617,5516,2822226
1600,5485,972654520
9202,5459,1627550
31404,5450,2423296
20602,5444,3892456
9604,5444,2239833
5000,5439,4763087
2503,5429,2709929
31707,5420,1707539
31911,5418,2023275
20303,5388,2097442
30501,5344,3562309
23300,5294,39811817
4102,5288,1921222
5400,5283,8470632
1503,5279,2294965
21100,5276,2476296
360800,5265,77533333
30803,5257,2136268
202,5256,13690267
24302,5256,268415378
32201,5254,6768077
10413,5227,1625466
31615,5222,2119351
970900,5221,62236462
600,5215,27138019
3104,5214,3957645
950102,5205,1292017289
5800,5204,3799700
32407,5202,2333531
32104,5199,3928570
21500,5196,6182997
4403,5189,2243962
7500,5140,2159337
9501,5137,1839266
32409,5131,1061221
21400,5126,3310141
31009,5123,1850267
31703,5122,2428067
9002,5121,1144838
30801,5120,7697628
24402,5115,3988745
361000,5094,48285133
24100,5093,288478975
402,5069,7263749
3002,5047,730655709
2501,5040,9281380
21602,5039,2623285
10306,5038,1658263
31403,5034,2496543
1500,5027,85463518
8903,5024,6170065
20204,5010,60942821
8904,5006,3513187
50001,5005,451723258
802,5005,1331382
801,5004,1559048
31915,5000,8626653
23700,4997,101234048
970200,4979,75174286
